Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft, isOuter
0, 6.58, 1.007609, 0, 0.1236, -1, True, True, False, False, False
1, 12.94, 1.13674, 0, 0.1236, -1.13, True, True, False, False, False
2, 13, 1.213312, 0, 0.1236, -1.207, True, True, False, False, False
3, 13.04, 1.34768, 0, 0.1236, -1.342, True, True, False, False, False
4, 13.06, 1.457251, 0, 0.1236, -1.452, True, True, False, False, False
5, 13.08, 1.602773, 0, 0.1236, -1.598, True, True, False, False, False
6, 13.1, 1.695511, 0, 0.1236, -1.691, True, True, False, False, False
7, 13.12, 1.808229, 0, 0.1236, -1.804, True, True, False, False, False
8, 13.14, 1.948923, 0, 0.1236, -1.945, True, True, False, False, False
9, 13.16, 2.0118, 0, 0.1236, -2.008, True, True, False, False, False
10, 13.18, 2.102636, 0, 0.1236, -2.099, True, True, False, False, False
11, 13.2, 2.158542, 0, 0.1236, -2.155, True, True, False, False, False
12, 13.22, 2.236418, 0, 0.1236, -2.233, True, True, False, False, False
13, 13.24, 2.308311, 0, 0.1236, -2.305, True, True, False, False, False
14, 13.26, 2.38121, 0, 0.1236, -2.378, True, True, False, False, False
15, 13.3, 2.438135, 0, 0.1236, -2.435, True, True, False, False, False
16, 13.36, 2.490069, 0, 0.1236, -2.487, True, True, False, False, False
17, 13.44, 2.566977, 0, 0.1236, -2.564, True, True, False, False, False
18, 13.5, 2.617919, 0, 0.1236, -2.615, True, True, False, False, False
19, 13.58, 2.679852, 0, 0.1236, -2.677, True, True, False, False, False
20, 13.66, 2.743785, 0, 0.1236, -2.741, True, True, False, False, False
21, 13.74, 2.805724, 0, 0.1236, -2.803, True, True, False, False, False
22, 13.8, 2.863669, 0, 0.1236, -2.861, True, True, False, False, False
23, 13.86, 2.918618, 0, 0.1236, -2.916, True, True, False, False, False
24, 13.94, 2.97357, 0, 0.1236, -2.971, True, True, False, False, False
25, 14.74, 3.035517, 0, 0.1236, -3.033, True, True, False, False, False
26, 14.82, 3.10646, 0, 0.1236, -3.104, True, True, False, False, False
27, 14.92, 3.160418, 0, 0.1236, -3.158, True, True, False, False, False
28, 15.28, 3.228367, 0, 0.1236, -3.226, True, True, False, False, False
29, 15.58, 3.283327, 0, 0.1236, -3.281, True, True, False, False, False
30, 15.78, 3.346284, 0, 0.1236, -3.344, True, True, False, False, False
