Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft, isOuter
0, 20.73333, 3.291097, -0.03156247, 1.624291, -2.862167, False, True, False, True, False
1, 21.92222, 3.247498, -0.0130172, 1.621918, -2.813442, False, True, False, True, False
2, 22.06667, 3.210953, 0.02087479, 1.618682, -2.773023, False, True, False, False, False
3, 22.17778, 3.178979, 0.05889313, 1.620035, -2.734579, False, True, False, False, False
4, 22.28889, 3.148177, 0.09488162, 1.623696, -2.695482, False, True, False, False, False
5, 22.44444, 3.107465, 0.110761, 1.627056, -2.645139, False, True, False, False, False
6, 22.6, 3.060479, 0.103014, 1.623548, -2.592299, False, True, False, False, False
7, 22.73333, 3.014126, 0.08901807, 1.618531, -2.54114, False, True, False, False, False
8, 22.84444, 2.972193, 0.06590022, 1.613844, -2.495013, False, True, False, False, False
9, 22.94444, 2.933944, 0.02946234, 1.608465, -2.453568, False, True, False, False, False
10, 23.03333, 2.89802, -0.01160736, 1.603207, -2.414148, False, True, False, True, False
11, 23.11111, 2.865511, -0.05369579, 1.598633, -2.377528, False, True, False, True, False
12, 23.17778, 2.837294, -0.09399083, 1.596869, -2.343377, False, True, False, True, False
13, 23.23333, 2.817099, -0.1300373, 1.607607, -2.309705, False, True, False, True, False
14, 23.3, 2.793633, -0.1664647, 1.618084, -2.271228, False, True, False, True, False
15, 23.37778, 2.768026, -0.2026921, 1.629125, -2.22864, False, True, False, True, False
16, 23.45556, 2.745518, -0.2326994, 1.64384, -2.186666, False, True, False, True, False
17, 23.54445, 2.720021, -0.259982, 1.65654, -2.141682, False, True, False, True, False
18, 23.63333, 2.68551, -0.2899374, 1.655702, -2.09441, False, True, False, True, False
19, 23.71111, 2.647525, -0.3163344, 1.650329, -2.045907, False, True, False, True, False
20, 23.78889, 2.609696, -0.3411527, 1.645134, -1.996913, False, True, False, True, False
21, 23.86667, 2.5819, -0.3627824, 1.652277, -1.950533, False, True, False, True, False
22, 23.95556, 2.551932, -0.3864956, 1.656504, -1.902359, False, True, False, True, False
23, 24.02222, 2.540756, -0.3843759, 1.729469, -1.821162, False, True, False, True, False
24, 24.1, 2.513042, -0.4075704, 1.732656, -1.774027, False, True, False, True, False
25, 24.17778, 2.483385, -0.4325916, 1.730154, -1.728188, False, True, False, True, False
26, 24.25556, 2.449782, -0.4643243, 1.716661, -1.684907, False, True, False, True, False
27, 24.32222, 2.419523, -0.4968797, 1.700186, -1.648201, False, True, False, True, False
28, 24.38889, 2.391461, -0.5313976, 1.68732, -1.609241, False, True, False, True, False
29, 24.45556, 2.365098, -0.5649505, 1.67806, -1.568003, False, True, False, True, False
30, 24.52222, 2.339268, -0.6001561, 1.670351, -1.523784, False, True, False, True, False
31, 24.57778, 2.31645, -0.6301638, 1.663006, -1.484334, False, True, False, True, False
32, 24.63333, 2.296657, -0.66145, 1.659973, -1.442777, False, True, False, True, False
33, 24.68889, 2.283242, -0.6939477, 1.667146, -1.397231, False, True, False, True, False
34, 24.74445, 2.267564, -0.7219603, 1.670343, -1.352987, False, True, False, True, False
35, 24.81111, 2.249366, -0.749073, 1.674643, -1.301578, False, True, False, True, False
36, 24.86667, 2.236027, -0.7713333, 1.680768, -1.256933, False, True, False, True, False
37, 24.92222, 2.217592, -0.7920802, 1.680387, -1.211043, False, True, False, True, False
38, 24.97778, 2.194657, -0.8139279, 1.67226, -1.165155, False, True, False, True, False
39, 25.03333, 2.170768, -0.8369202, 1.660567, -1.119963, False, True, False, True, False
40, 25.08889, 2.148817, -0.860616, 1.650568, -1.073488, False, True, False, True, False
41, 25.14445, 2.130209, -0.8853126, 1.643428, -1.026235, False, True, False, True, False
42, 25.2, 2.112666, -0.9091986, 1.637555, -0.9773073, False, True, False, True, False
43, 25.25556, 2.1023, -0.9323773, 1.639554, -0.9285468, False, True, False, True, False
44, 25.31111, 2.102142, -0.9556136, 1.654586, -0.8764412, False, True, False, True, False
45, 25.36667, 2.103627, -0.9772822, 1.667481, -0.8304656, False, True, False, True, False
46, 25.42222, 2.106033, -1.000799, 1.678109, -0.7859577, False, True, False, True, True
47, 25.5, 2.109393, -1.037895, 1.686075, -0.7276421, False, True, False, True, True
48, 25.55556, 2.111016, -1.07082, 1.687228, -0.6804394, False, True, False, True, True
49, 25.62222, 2.112673, -1.105472, 1.684991, -0.6341348, False, True, False, True, True
50, 25.68889, 2.11507, -1.143096, 1.679218, -0.5891358, False, True, False, True, True
51, 25.74445, 2.117687, -1.177566, 1.671707, -0.5507547, False, True, False, True, True
52, 25.81111, 2.121768, -1.222363, 1.659512, -0.5037331, False, True, False, True, True
53, 25.86667, 2.127901, -1.261393, 1.650324, -0.4618245, False, True, False, True, True
54, 25.92222, 2.137783, -1.30079, 1.643492, -0.4207059, False, True, False, True, True
55, 25.98889, 2.153706, -1.337802, 1.64512, -0.3772463, False, True, False, True, True
56, 26.03333, 2.169827, -1.370886, 1.648058, -0.3357489, False, True, False, True, True
57, 26.11111, 2.183308, -1.404332, 1.646658, -0.2884525, False, True, False, True, True
58, 26.16667, 2.201812, -1.433367, 1.653609, -0.242933, False, True, False, True, True
59, 26.23333, 2.21984, -1.459845, 1.660513, -0.1980805, False, True, False, True, True
60, 26.31111, 2.233482, -1.485914, 1.660468, -0.1528023, False, True, False, True, True
61, 26.37778, 2.242361, -1.511033, 1.653424, -0.1055956, False, True, False, True, True
62, 26.44444, 2.249593, -1.533799, 1.644708, -0.05536211, False, False, True, True, True
63, 26.51111, 2.258726, -1.55368, 1.639487, -0.002412021, False, False, True, True, True
64, 26.57778, 2.271366, -1.571923, 1.638763, 0.05117488, False, False, False, True, True
65, 26.63333, 2.291828, -1.585309, 1.652031, 0.1003013, False, False, False, True, True
66, 26.7, 2.314661, -1.599786, 1.665818, 0.1529329, False, False, False, True, True
67, 26.76667, 2.336924, -1.612487, 1.679038, 0.2047739, False, False, False, True, True
68, 26.83333, 2.354798, -1.624038, 1.685936, 0.255331, False, False, False, True, True
69, 26.9, 2.366961, -1.63236, 1.686145, 0.3079283, False, False, False, True, True
70, 26.96667, 2.374981, -1.637332, 1.681586, 0.3632439, False, False, False, True, True
71, 27.03333, 2.381202, -1.638918, 1.675124, 0.4219329, False, False, False, True, True
72, 27.08889, 2.385108, -1.638081, 1.667975, 0.4725392, False, False, False, True, True
73, 27.14445, 2.38899, -1.636036, 1.659937, 0.5246599, False, False, False, True, True
74, 27.2, 2.394697, -1.633501, 1.65312, 0.5774455, False, False, False, True, True
75, 27.25556, 2.406115, -1.628892, 1.654345, 0.6318564, False, False, False, True, True
76, 27.31111, 2.424536, -1.62094, 1.667075, 0.6868706, False, False, False, True, True
77, 27.36667, 2.436117, -1.609405, 1.673878, 0.7366244, False, False, False, True, True
78, 27.43333, 2.447597, -1.592452, 1.681502, 0.7920711, False, False, False, True, True
79, 27.5, 2.451005, -1.571382, 1.681136, 0.8437818, False, False, False, True, True
80, 27.56667, 2.448624, -1.545926, 1.675329, 0.8939493, False, False, False, True, True
81, 27.63333, 2.442204, -1.516367, 1.665793, 0.9434643, False, False, False, True, True
82, 27.7, 2.432496, -1.482121, 1.654353, 0.9917006, False, False, False, True, True
83, 27.75556, 2.424963, -1.449384, 1.647294, 1.032548, False, False, False, True, True
84, 27.81111, 2.418847, -1.41449, 1.642552, 1.073343, False, False, False, True, True
