--------------------------------
Condition: 6 A
--------------------------------
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0, 27.14445, 3.875192, -2.036359, 1.604513, -2.88026, False, True, False, True
1, 27.36667, 3.909725, -2.019637, 1.627984, -2.92518, False, True, False, True
2, 27.46667, 3.945349, -2.00414, 1.645407, -2.973523, False, True, False, True
3, 27.53333, 3.977576, -1.983888, 1.654826, -3.024375, False, True, False, True
4, 27.58889, 4.003494, -1.954355, 1.65929, -3.074934, False, True, False, True
5, 27.63333, 4.019683, -1.919974, 1.662189, -3.115875, False, True, False, True
6, 27.67778, 4.028714, -1.874312, 1.66587, -3.153152, False, True, False, True
7, 27.72222, 4.026989, -1.817916, 1.670407, -3.181439, False, True, False, True
8, 27.76667, 4.014602, -1.757979, 1.673421, -3.197843, False, True, False, True
9, 27.81111, 3.999226, -1.700999, 1.676407, -3.207814, False, True, False, True
10, 27.85556, 3.982815, -1.649736, 1.676667, -3.214028, False, True, False, True
11, 27.91111, 3.964349, -1.591882, 1.67445, -3.22152, False, True, False, True
12, 27.96667, 3.949437, -1.536519, 1.671863, -3.231414, False, True, False, True
13, 28.02222, 3.933736, -1.480858, 1.667475, -3.240504, False, True, False, True
14, 28.07778, 3.917009, -1.424544, 1.66312, -3.247717, False, True, False, True
15, 28.13333, 3.896123, -1.371302, 1.657031, -3.248623, False, True, False, True
16, 28.2, 3.874069, -1.315938, 1.650938, -3.24825, False, True, False, True
17, 28.27778, 3.855879, -1.262123, 1.650292, -3.24829, False, True, False, True
18, 28.36667, 3.838893, -1.211702, 1.652027, -3.246489, False, True, False, True
19, 28.48889, 3.81584, -1.16185, 1.651822, -3.237627, False, True, False, True
20, 28.74445, 3.831006, -1.118955, 1.663682, -3.264462, False, True, False, True
21, 28.88889, 3.854681, -1.083504, 1.672976, -3.299355, False, True, False, True
22, 29.03333, 3.856045, -1.034766, 1.671558, -3.317264, False, True, False, True
23, 29.14445, 3.837705, -0.9848676, 1.648703, -3.322619, False, True, False, True
24, 29.24445, 3.805979, -0.9360842, 1.635066, -3.30693, False, True, False, True
25, 29.33333, 3.765067, -0.8913043, 1.623293, -3.278144, False, True, False, True
26, 29.41111, 3.720592, -0.8452399, 1.614135, -3.243908, False, True, False, True
27, 29.47778, 3.681389, -0.8025956, 1.61239, -3.210711, False, True, False, True
28, 29.54445, 3.642645, -0.754655, 1.618876, -3.174681, False, True, False, True
29, 29.61111, 3.606881, -0.7100344, 1.621844, -3.142462, False, True, False, True
30, 29.68889, 3.572114, -0.66455, 1.626712, -3.110013, False, True, False, True
31, 29.76667, 3.545238, -0.6231976, 1.638222, -3.081649, False, True, False, True
32, 29.85556, 3.51417, -0.5787952, 1.649211, -3.048687, False, True, False, True
33, 29.93333, 3.477109, -0.5331441, 1.649714, -3.014048, False, True, False, True
34, 30, 3.440963, -0.491565, 1.646751, -2.981074, False, True, False, True
35, 30.06667, 3.403682, -0.4497874, 1.644336, -2.945998, False, True, False, True
36, 30.13333, 3.367042, -0.4091126, 1.641686, -2.911094, False, True, False, True
37, 30.2, 3.329595, -0.3645849, 1.640636, -2.874299, False, True, False, True
38, 30.26667, 3.294886, -0.3195694, 1.642405, -2.838424, False, True, False, True
39, 30.32222, 3.271285, -0.2805754, 1.65491, -2.807821, False, True, False, True
40, 30.38889, 3.246498, -0.2403812, 1.667561, -2.775105, False, True, False, True
41, 30.46667, 3.217012, -0.1978726, 1.675352, -2.739199, False, True, False, True
42, 30.54445, 3.18878, -0.1596584, 1.681116, -2.704935, False, True, False, True
43, 30.62222, 3.156699, -0.1235371, 1.683387, -2.667526, False, True, False, True
44, 30.7, 3.120255, -0.09068878, 1.682806, -2.626011, False, True, False, True
45, 30.77778, 3.077086, -0.06076, 1.676874, -2.579314, False, True, False, True
46, 30.84444, 3.034627, -0.03751458, 1.665895, -2.536207, False, True, False, True
47, 30.91111, 2.988522, -0.01121101, 1.656522, -2.487383, False, True, False, True
48, 30.96667, 2.948442, 0.01030925, 1.652535, -2.441789, False, True, False, False
49, 31.03333, 2.902596, 0.03044897, 1.651005, -2.387115, False, True, False, False
50, 31.1, 2.862697, 0.04996134, 1.659174, -2.332312, False, True, False, False
51, 31.16667, 2.825207, 0.07057884, 1.665712, -2.280838, False, True, False, False
52, 31.23333, 2.790626, 0.09273453, 1.671254, -2.232913, False, True, False, False
53, 31.26667, 2.818862, 0.113858, 1.76263, -2.196851, False, True, False, False
54, 31.33333, 2.784611, 0.1400316, 1.761603, -2.152023, False, True, False, False
55, 31.4, 2.748968, 0.1679632, 1.755966, -2.108363, False, True, False, False
56, 31.46667, 2.712328, 0.1957961, 1.749536, -2.063374, False, True, False, False
57, 31.53333, 2.673784, 0.2231407, 1.743298, -2.015005, False, True, False, False
58, 31.6, 2.635845, 0.2495687, 1.740205, -1.963945, False, True, False, False
59, 31.66667, 2.597788, 0.2776485, 1.736981, -1.911625, False, True, False, False
60, 31.71111, 2.567602, 0.3017514, 1.735871, -1.867692, False, True, False, False
61, 31.76667, 2.545078, 0.3269009, 1.747797, -1.820924, False, True, False, False
62, 31.83333, 2.515337, 0.3530748, 1.755077, -1.766908, False, True, False, False
63, 31.9, 2.486847, 0.3757883, 1.758844, -1.717457, False, True, False, False
64, 31.96667, 2.458504, 0.3958049, 1.763106, -1.667044, False, True, False, False
65, 32.03333, 2.427705, 0.4137609, 1.761902, -1.618102, False, True, False, False
66, 32.1, 2.395708, 0.4320711, 1.756859, -1.570407, False, True, False, False
67, 32.17778, 2.362805, 0.4494153, 1.749731, -1.522931, False, True, False, False
68, 32.24445, 2.327619, 0.4655063, 1.738727, -1.475785, False, True, False, False
69, 32.31111, 2.292893, 0.4824308, 1.729595, -1.425875, False, True, False, False
70, 32.37778, 2.259171, 0.4984767, 1.722089, -1.374695, False, True, False, False
71, 32.44445, 2.232764, 0.5140897, 1.723985, -1.32243, False, True, False, False
72, 32.51111, 2.212717, 0.5312715, 1.731797, -1.270727, False, True, False, False
73, 32.57778, 2.19536, 0.5509837, 1.74049, -1.21931, False, True, False, False
74, 32.64444, 2.176814, 0.5734634, 1.745204, -1.167871, False, True, False, False
75, 32.71111, 2.154407, 0.5983732, 1.744151, -1.114162, False, True, False, False
76, 32.76667, 2.12907, 0.6258743, 1.737245, -1.059811, False, True, False, False
77, 32.83334, 2.104925, 0.6552821, 1.729961, -1.004265, False, True, False, False
78, 32.9, 2.086222, 0.6797245, 1.723014, -0.9599576, False, True, False, False
79, 32.96667, 2.066854, 0.7093458, 1.715198, -0.9092911, False, True, False, False
80, 33.03333, 2.056125, 0.7437199, 1.716501, -0.8533215, False, True, False, False
81, 33.11111, 2.059541, 0.7715861, 1.730837, -0.8065774, False, True, False, False
82, 33.17778, 2.060124, 0.7942428, 1.741952, -0.7608483, False, True, False, False
83, 33.25556, 2.05469, 0.8159732, 1.747744, -0.7080455, False, True, False, False
84, 33.33334, 2.044681, 0.8329442, 1.748471, -0.6555705, False, True, False, False
85, 33.41111, 2.032639, 0.8454372, 1.746896, -0.6043264, False, True, False, False
86, 33.48889, 2.021217, 0.854982, 1.746421, -0.5516683, False, True, False, False
87, 33.56667, 2.006799, 0.8621534, 1.744765, -0.4896224, False, True, False, False
88, 33.64444, 1.993771, 0.8647398, 1.74193, -0.4393498, False, True, False, False
89, 33.71111, 1.97873, 0.8629864, 1.737917, -0.387648, False, True, False, False
90, 33.76667, 1.974177, 0.858601, 1.74652, -0.3314357, False, True, False, False
91, 33.83334, 1.970733, 0.853664, 1.754411, -0.2776458, False, True, False, False
92, 33.91111, 1.966674, 0.849533, 1.759434, -0.2247096, False, True, False, False
93, 33.97778, 1.963241, 0.8480322, 1.762398, -0.1706235, False, True, False, False
94, 34.04445, 1.954806, 0.8468865, 1.758004, -0.116066, False, True, False, False
95, 34.11111, 1.944414, 0.8461156, 1.749632, -0.06018591, False, False, True, False
96, 34.17778, 1.93202, 0.8453292, 1.737271, -0.002512574, False, False, True, False
97, 34.24445, 1.91764, 0.8438717, 1.721113, 0.05472946, False, False, False, False
98, 34.3, 1.911674, 0.8432045, 1.712496, 0.1042159, False, False, False, False
99, 34.36667, 1.910393, 0.8418307, 1.7072, 0.1624494, False, False, False, False
100, 34.42222, 1.918297, 0.8397328, 1.711542, 0.2129178, False, False, False, False
101, 34.47778, 1.930752, 0.8354079, 1.72053, 0.2639532, False, False, False, False
102, 34.54445, 1.941325, 0.8271606, 1.726633, 0.3213866, False, False, False, False
103, 34.61111, 1.950481, 0.8171223, 1.730361, 0.377543, False, False, False, False
104, 34.67778, 1.958105, 0.8039685, 1.732444, 0.4317987, False, False, False, False
105, 34.74445, 1.96214, 0.7870038, 1.73087, 0.4844679, False, False, False, False
106, 34.81111, 1.961907, 0.7677317, 1.724057, 0.5359993, False, False, False, False
107, 34.87778, 1.957486, 0.7454913, 1.712701, 0.5853624, False, False, False, False
108, 34.94445, 1.954923, 0.718116, 1.703584, 0.6354802, False, False, False, False
109, 35.01111, 1.953593, 0.686445, 1.695939, 0.6849172, False, False, False, False
110, 35.06667, 1.96475, 0.6580306, 1.701566, 0.7293212, False, False, False, False
111, 35.13334, 1.975874, 0.626882, 1.704618, 0.7780581, False, False, False, False
112, 35.2, 1.989776, 0.5999873, 1.70823, 0.8253331, False, False, False, False
113, 35.26667, 2.005037, 0.5770441, 1.710494, 0.8725842, False, False, False, False
114, 35.33334, 2.01755, 0.5562209, 1.707068, 0.9203508, False, False, False, False
115, 35.4, 2.029732, 0.53741, 1.699922, 0.9701878, False, False, False, False
116, 35.46667, 2.043471, 0.5200842, 1.691076, 1.02252, False, False, False, False
117, 35.53333, 2.059271, 0.5046465, 1.681948, 1.075629, False, False, False, False
118, 35.6, 2.077719, 0.4911514, 1.673805, 1.128744, False, False, False, False
119, 35.66667, 2.103693, 0.4787487, 1.672692, 1.18255, False, False, False, False
120, 35.73333, 2.137714, 0.4667215, 1.679054, 1.238052, False, False, False, False
121, 35.8, 2.16448, 0.4523218, 1.67906, 1.288851, False, False, False, False
122, 35.86667, 2.191133, 0.4372579, 1.678002, 1.339469, False, False, False, False
123, 35.94445, 2.220859, 0.4198437, 1.676959, 1.394186, False, False, False, False
124, 36.03333, 2.250423, 0.4026518, 1.67623, 1.446558, False, False, False, False
125, 36.08889, 2.277948, 0.3859273, 1.67248, 1.497637, False, False, False, False
126, 36.16667, 2.304709, 0.3686367, 1.665648, 1.549648, False, False, False, False
127, 36.24445, 2.333312, 0.349957, 1.658916, 1.603083, False, False, False, False
128, 36.32222, 2.362989, 0.328838, 1.653794, 1.65546, False, False, False, False
