--------------------------------
Condition: 6 B
--------------------------------
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0, 8.655556, 3.490394, 0.05368351, 1.645624, -3.077644, False, True, False, False
1, 10.88889, 3.445971, 0.03137591, 1.631528, -3.035103, False, True, False, False
2, 11.06667, 3.41083, 0.06177251, 1.631834, -2.994506, False, True, False, False
3, 11.2, 3.380958, 0.1012864, 1.632232, -2.959128, False, True, False, False
4, 11.31111, 3.359376, 0.1425137, 1.639808, -2.928503, False, True, False, False
5, 11.43333, 3.3406, 0.1837195, 1.648652, -2.899621, False, True, False, False
6, 11.56667, 3.318162, 0.2246947, 1.651135, -2.869401, False, True, False, False
7, 11.71111, 3.295814, 0.26738, 1.651173, -2.83981, False, True, False, False
8, 11.87778, 3.271835, 0.3089775, 1.650125, -2.808295, False, True, False, False
9, 12.06667, 3.240938, 0.3438259, 1.648954, -2.768829, False, True, False, False
10, 12.22222, 3.202846, 0.3706596, 1.645393, -2.722777, False, True, False, False
11, 12.36667, 3.165243, 0.392047, 1.642206, -2.677354, False, True, False, False
12, 12.51111, 3.124404, 0.4112303, 1.641101, -2.626705, False, True, False, False
13, 12.65556, 3.092419, 0.4294154, 1.653541, -2.577685, False, True, False, False
14, 12.81111, 3.059316, 0.4557943, 1.656518, -2.531326, False, True, False, False
15, 12.96667, 3.035015, 0.4902597, 1.660385, -2.492806, False, True, False, False
16, 13.12222, 3.020377, 0.5359341, 1.659984, -2.465746, False, True, False, False
17, 13.24444, 3.015503, 0.584664, 1.662798, -2.446739, False, True, False, False
18, 13.35556, 3.007044, 0.6343555, 1.661938, -2.424431, False, True, False, False
19, 13.46667, 2.991426, 0.676324, 1.662058, -2.393486, False, True, False, False
20, 13.57778, 2.968483, 0.7092092, 1.663518, -2.354064, False, True, False, False
21, 13.67778, 2.93454, 0.7336626, 1.660255, -2.305823, False, True, False, False
22, 13.76667, 2.894455, 0.7507272, 1.652377, -2.254757, False, True, False, False
23, 13.85556, 2.847379, 0.7645814, 1.643242, -2.196073, False, True, False, False
24, 13.93333, 2.802849, 0.7745067, 1.637302, -2.139005, False, True, False, False
25, 14, 2.764323, 0.7805575, 1.638099, -2.085389, False, True, False, False
