--------------------------------
Condition: 1
--------------------------------
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0, 8.977778, 3.867104, 0.2625859, 1.638343, -3.493047, False, True, False, False
1, 10.78889, 3.832539, 0.2241762, 1.624821, -3.463821, False, True, False, False
2, 10.98889, 3.796594, 0.2554198, 1.623157, -3.422609, False, True, False, False
3, 11.12222, 3.766791, 0.2966293, 1.616569, -3.389311, False, True, False, False
4, 11.24444, 3.73728, 0.3369319, 1.612996, -3.354398, False, True, False, False
5, 11.37778, 3.701451, 0.3651151, 1.611557, -3.312147, False, True, False, False
6, 11.51111, 3.660501, 0.3821701, 1.611408, -3.264441, False, True, False, False
7, 11.63333, 3.618239, 0.3974791, 1.609032, -3.216314, False, True, False, False
8, 11.75556, 3.569809, 0.4072767, 1.601547, -3.164286, False, True, False, False
9, 11.86667, 3.526102, 0.4122207, 1.603882, -3.113042, False, True, False, False
10, 11.96667, 3.488263, 0.4191707, 1.613326, -3.064222, False, True, False, False
11, 12.07778, 3.442651, 0.4321235, 1.61145, -3.011369, False, True, False, False
12, 12.18889, 3.398975, 0.4552145, 1.613102, -2.956977, False, True, False, False
13, 12.27778, 3.366078, 0.4804127, 1.620274, -2.911082, False, True, False, False
14, 12.36667, 3.334179, 0.5138717, 1.618144, -2.869546, False, True, False, False
15, 12.44444, 3.30598, 0.550236, 1.615587, -2.831364, False, True, False, False
16, 12.52222, 3.278692, 0.5879629, 1.619864, -2.789295, False, True, False, False
17, 12.6, 3.248057, 0.6172441, 1.624419, -2.744112, False, True, False, False
18, 12.67778, 3.210623, 0.6369799, 1.625031, -2.694741, False, True, False, False
19, 12.75556, 3.167835, 0.6482128, 1.626164, -2.640187, False, True, False, False
20, 12.82222, 3.125603, 0.6540757, 1.622796, -2.590002, False, True, False, False
21, 12.88889, 3.079248, 0.6595952, 1.616899, -2.536206, False, True, False, False
22, 12.95556, 3.02929, 0.664059, 1.609635, -2.47885, False, True, False, False
23, 13.01111, 2.987779, 0.6668638, 1.608046, -2.42823, False, True, False, False
24, 13.06667, 2.949394, 0.6694248, 1.615268, -2.375228, False, True, False, False
25, 13.12222, 2.915238, 0.674516, 1.62589, -2.323817, False, True, False, False
26, 13.17778, 2.880481, 0.6830584, 1.630882, -2.273945, False, True, False, False
27, 13.23333, 2.847723, 0.6957981, 1.635794, -2.224762, False, True, False, False
28, 13.28889, 2.814708, 0.7116445, 1.638413, -2.175257, False, True, False, False
29, 13.34445, 2.779624, 0.7292528, 1.636384, -2.125263, False, True, False, False
30, 13.4, 2.741384, 0.7475877, 1.629095, -2.07421, False, True, False, False
31, 13.45556, 2.701684, 0.7678117, 1.61812, -2.022685, False, True, False, False
32, 13.51111, 2.663301, 0.7909882, 1.606704, -1.971297, False, True, False, False
33, 13.56667, 2.630057, 0.8167917, 1.602807, -1.918609, False, True, False, False
34, 13.62222, 2.60642, 0.8420918, 1.616107, -1.863465, False, True, False, False
