--------------------------------,,,,,,,,,
Condition: 4 A,,,,,,,,,
--------------------------------,,,,,,,,,
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0,11.72222,3.220456,-0.09630932,1.563254,-2.813947, False, True, False, True
1,12.83333,3.179466,-0.1229784,1.550252,-2.773193, False, True, False, True
2,13.47778,3.143544,-0.1551921,1.542489,-2.734687, False, True, False, True
3,13.65556,3.106829,-0.121623,1.537725,-2.69685, False, True, False, True
4,13.78889,3.074596,-0.08301605,1.537132,-2.661479, False, True, False, True
5,13.92222,3.043708,-0.04576642,1.538709,-2.625726, False, True, False, True
6,14.1,3.003793,-0.01579514,1.53999,-2.578944, False, True, False, True
7,14.25556,2.960224,-0.000776015,1.536235,-2.530397, True, True, False, False
8,14.4,2.908955,-0.000998166,1.529202,-2.474583, True, True, False, False
9,14.55556,2.861819,-0.01360771,1.528142,-2.419629, False, True, False, True
10,14.68889,2.821951,-0.04017095,1.533589,-2.368522, False, True, False, True
11,14.78889,2.789875,-0.06137915,1.542373,-2.323945, False, True, False, True
12,14.96667,2.753611,-0.08338865,1.544528,-2.278126, False, True, False, True
13,15.13333,2.71826,-0.09381544,1.552948,-2.229011, False, True, False, True
14,15.28889,2.674829,-0.08447894,1.549934,-2.178366, False, True, False, True
15,15.37778,2.63302,-0.06503924,1.547459,-2.129304, False, True, False, True
16,15.48889,2.596303,-0.04191086,1.551171,-2.081562, False, True, False, True
17,15.58889,2.56168,-0.02115266,1.558059,-2.033276, False, True, False, True
18,15.71111,2.518394,-0.008941,1.554487,-1.981363, False, True, False, True
19,15.84445,2.476407,-0.005607294,1.550781,-1.93071, False, True, False, True
20,15.96667,2.432133,-0.01072975,1.541971,-1.880819, False, True, False, True
21,16.08889,2.38681,-0.03012152,1.533613,-1.828657, False, True, False, True
22,16.21111,2.347749,-0.05854674,1.531586,-1.778409, False, True, False, True
23,16.31111,2.309595,-0.08411215,1.530873,-1.727304, False, True, False, True
24,16.46667,2.268895,-0.09477797,1.529328,-1.673338, False, True, False, True
25,16.58889,2.224893,-0.09150328,1.521089,-1.62113, False, True, False, True
26,16.71111,2.184877,-0.07703917,1.514522,-1.572888, False, True, False, True
27,16.84444,2.143149,-0.05670115,1.506824,-1.522942, False, True, False, True
28,16.93333,2.104882,-0.0340836,1.504005,-1.472188, False, True, False, True
29,17.02222,2.06806,-0.009387653,1.505533,-1.417799, False, True, False, True
30,17.13333,2.034681,0.009543962,1.509157,-1.364654, False, True, False, False
31,17.22222,1.998614,0.02167623,1.507579,-1.311942, False, True, False, False
32,17.3,1.956756,0.02766832,1.502052,-1.253782, False, True, False, False
33,17.41111,1.918617,0.024271,1.495376,-1.201813, False, True, False, False
34,17.53333,1.890368,0.01321174,1.498317,-1.152546, False, True, False, False
35,17.63333,1.866027,-0.005921973,1.508384,-1.098545, False, True, False, True
36,17.76667,1.839188,-0.02189223,1.509915,-1.0499, False, True, False, True
37,17.88889,1.810022,-0.03102265,1.510682,-0.9965223, False, True, False, True
38,17.98889,1.780464,-0.03210201,1.508409,-0.945371, False, True, False, True
39,18.13333,1.748984,-0.01885373,1.504437,-0.8917723, False, True, False, True
40,18.23333,1.724693,0.003118385,1.502891,-0.8460925, False, True, False, False
41,18.32222,1.7005,0.02947367,1.50293,-0.7950047, False, True, False, False
42,18.43333,1.67441,0.04710232,1.498749,-0.7451072, False, True, False, False
43,18.55556,1.647678,0.0540446,1.495744,-0.6889641, False, True, False, False
44,18.7,1.613914,0.05008551,1.482318,-0.6363516, False, True, False, False
45,18.84444,1.588168,0.03627235,1.476653,-0.5834869, False, True, False, False
46,18.94444,1.567508,0.01454521,1.475814,-0.5280561, False, True, False, False
47,19.03333,1.556155,-0.004974458,1.479746,-0.4816074, False, True, False, True
48,19.13333,1.548024,-0.02663523,1.486145,-0.4324819, False, True, False, True
49,19.22222,1.531862,-0.04212769,1.482463,-0.3835734, False, True, False, True
50,19.34444,1.517951,-0.04441837,1.481443,-0.327917, False, True, False, True
51,19.47778,1.502681,-0.03238951,1.477301,-0.2730955, False, True, False, True
52,19.58889,1.489787,-0.00819429,1.472757,-0.2244692, False, True, False, True
53,19.72222,1.487267,0.0181485,1.476614,-0.1767577, False, True, False, False
54,19.82222,1.492522,0.03734479,1.486303,-0.1308879, False, True, False, False
55,19.96667,1.489772,0.04965408,1.486864,-0.07867789, False, False, True, False
56,20.12222,1.485205,0.05147309,1.484143,-0.02241808, False, False, True, False
57,20.25556,1.484151,0.03433385,1.483395,0.0326283, False, False, False, False
58,20.38889,1.488802,0.007284477,1.486247,0.08688378, False, False, False, False
59,20.5,1.50081,-0.01649388,1.49446,0.1369281, False, False, False, True
60,20.63333,1.511868,-0.03760378,1.499435,0.1898012, False, False, False, True
61,20.78889,1.516187,-0.04829574,1.49592,0.2423058, False, False, False, True
62,20.91111,1.518602,-0.04907485,1.489304,0.2927754, False, False, False, True
63,21.04445,1.52348,-0.03571838,1.481578,0.3530469, False, False, False, True
64,21.13333,1.537493,-0.01842658,1.483202,0.4045458, False, False, False, True
65,21.23333,1.55874,-0.004157372,1.490294,0.4568119, False, False, False, True
66,21.34444,1.57365,0.004584473,1.488981,0.5092045, False, False, False, False
67,21.45556,1.5925,0.004405499,1.490368,0.561106, False, False, False, False
68,21.6,1.609248,-0.002873503,1.488381,0.6118755, False, False, False, True
69,21.71111,1.631293,-0.01902484,1.489106,0.6658202, False, False, False, True
70,21.82222,1.658652,-0.0405867,1.494969,0.7173182, False, False, False, True
71,21.92222,1.690215,-0.06214331,1.505391,0.7660041, False, False, False, True
72,22.02222,1.717562,-0.08094116,1.50801,0.818152, False, False, False, True
73,22.11111,1.743425,-0.08831543,1.506963,0.8722332, False, False, False, True
74,22.21111,1.762782,-0.08793944,1.497064,0.9265344, False, False, False, True
75,22.32222,1.782505,-0.07758317,1.483524,0.9851208, False, False, False, True
76,22.41111,1.803707,-0.06332317,1.476241,1.034437, False, False, False, True
77,22.53333,1.834207,-0.04808236,1.477307,1.086079, False, False, False, True
78,22.64445,1.869367,-0.03362504,1.478197,1.143824, False, False, False, True
79,22.72222,1.896685,-0.02697588,1.473305,1.194177, False, False, False, True
80,22.81111,1.928544,-0.02659536,1.470776,1.247154, False, False, False, True
81,22.88889,1.957212,-0.03030878,1.464615,1.297946, False, False, False, True
82,22.97778,1.990582,-0.04286497,1.456446,1.356224, False, False, False, True
83,23.05556,2.026875,-0.06064054,1.456377,1.408371, False, False, False, True
84,23.14445,2.072854,-0.07973079,1.465153,1.464136, False, False, False, True
85,23.23333,2.114647,-0.0955591,1.47023,1.516914, False, False, False, True
86,23.32222,2.149669,-0.1054082,1.466884,1.567871, False, False, False, True
87,23.45556,2.187028,-0.1098415,1.462784,1.622125, False, False, False, True
88,23.56667,2.224805,-0.1062118,1.456706,1.678238, False, False, False, True
89,23.66667,2.262833,-0.09368392,1.453309,1.731915, False, False, False, True
90,23.75556,2.304458,-0.07788941,1.45767,1.783159, False, False, False, True
91,23.84444,2.359576,-0.05946643,1.473662,1.841843, False, False, False, True
92,23.91111,2.402704,-0.04696661,1.479845,1.89231, False, False, False, True
93,24.02222,2.448954,-0.04242829,1.479399,1.951142, False, False, False, True
94,24.13333,2.488703,-0.04597607,1.470935,2.006957, False, False, False, True
