--------------------------------
Condition: 4 A
--------------------------------
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0, 12.45556, 3.449476, 0.001214456, 1.699751, -3.001621, False, True, False, False
1, 13.67778, 3.435145, -0.04222926, 1.710475, -2.97871, False, True, False, True
2, 13.93333, 3.388253, -0.05090309, 1.706612, -2.926627, False, True, False, True
3, 14.03333, 3.339292, -0.03915747, 1.699939, -2.873942, False, True, False, True
4, 14.14444, 3.291985, -0.01858925, 1.692558, -2.823485, False, True, False, True
5, 14.23333, 3.253297, 0.00514549, 1.692706, -2.778248, False, True, False, False
6, 14.33333, 3.217498, 0.03324265, 1.70103, -2.730877, False, True, False, False
7, 14.41111, 3.18313, 0.06199675, 1.710654, -2.683679, False, True, False, False
8, 14.53333, 3.144605, 0.0871366, 1.710276, -2.637405, False, True, False, False
9, 14.63333, 3.098093, 0.1060009, 1.707207, -2.583096, False, True, False, False
10, 14.72222, 3.056997, 0.1153048, 1.707546, -2.533026, False, True, False, False
11, 14.83333, 3.006645, 0.1224942, 1.705319, -2.473216, False, True, False, False
12, 14.91111, 2.949931, 0.1277337, 1.697527, -2.409187, False, True, False, False
13, 14.97778, 2.895729, 0.1291676, 1.690215, -2.347708, False, True, False, False
14, 15.06667, 2.841995, 0.1296543, 1.689427, -2.281658, False, True, False, False
15, 15.13333, 2.807833, 0.1294511, 1.699568, -2.231286, False, True, False, False
16, 15.2, 2.777337, 0.1298188, 1.712911, -2.182357, False, True, False, False
17, 15.26667, 2.744209, 0.1324964, 1.722029, -2.132543, False, True, False, False
18, 15.35556, 2.695035, 0.1431771, 1.723171, -2.06722, False, True, False, False
19, 15.47778, 2.657273, 0.1596377, 1.725729, -2.014317, False, True, False, False
20, 15.54445, 2.618647, 0.1781483, 1.72505, -1.962086, False, True, False, False
21, 15.62222, 2.58287, 0.1958071, 1.721766, -1.915306, False, True, False, False
22, 15.68889, 2.545376, 0.2152325, 1.7173, -1.866411, False, True, False, False
23, 15.74444, 2.504254, 0.2355067, 1.708319, -1.815894, False, True, False, False
24, 15.81111, 2.462739, 0.2564428, 1.699183, -1.764114, False, True, False, False
25, 15.86667, 2.423416, 0.2782335, 1.692997, -1.711517, False, True, False, False
26, 15.92222, 2.393006, 0.3017815, 1.697951, -1.659026, False, True, False, False
27, 15.97778, 2.3678, 0.3253019, 1.707019, -1.608335, False, True, False, False
28, 16.04445, 2.337653, 0.3448961, 1.707764, -1.558593, False, True, False, False
29, 16.13333, 2.29467, 0.3618803, 1.701816, -1.49612, False, True, False, False
30, 16.23333, 2.256332, 0.3741109, 1.69992, -1.435738, False, True, False, False
31, 16.33333, 2.221797, 0.3839735, 1.69651, -1.382318, False, True, False, False
32, 16.42222, 2.186187, 0.391434, 1.691873, -1.328065, False, True, False, False
33, 16.5, 2.143857, 0.3984829, 1.685308, -1.263752, False, True, False, False
34, 16.58889, 2.113073, 0.4047144, 1.686566, -1.206971, False, True, False, False
35, 16.66667, 2.092036, 0.4129316, 1.701573, -1.144879, False, True, False, False
36, 16.73333, 2.079081, 0.4200171, 1.719538, -1.090575, False, True, False, False
37, 16.8, 2.052597, 0.4319529, 1.722118, -1.029989, False, True, False, False
38, 16.88889, 2.03272, 0.4464777, 1.728589, -0.9718995, False, True, False, False
39, 16.97778, 2.013975, 0.4614063, 1.731281, -0.9197094, False, True, False, False
40, 17.06667, 1.992401, 0.4775501, 1.728212, -0.8688452, False, True, False, False
41, 17.15556, 1.970557, 0.4974654, 1.722236, -0.8182461, False, True, False, False
42, 17.3, 1.948955, 0.5237298, 1.714898, -0.7637113, False, True, False, False
43, 17.4, 1.93909, 0.5546164, 1.717079, -0.710008, False, True, False, False
44, 17.5, 1.943248, 0.5843107, 1.730244, -0.6641155, False, True, False, False
45, 17.61111, 1.928831, 0.6156926, 1.721551, -0.6144708, False, True, False, False
46, 17.68889, 1.914315, 0.6357983, 1.714014, -0.5679068, False, True, False, False
47, 17.78889, 1.896714, 0.6556754, 1.703053, -0.5169386, False, True, False, False
48, 17.9, 1.870193, 0.6675924, 1.685307, -0.4600895, False, True, False, False
49, 17.98889, 1.848324, 0.6678503, 1.674342, -0.4084823, False, True, False, False
50, 18.1, 1.825203, 0.6622449, 1.66486, -0.3479075, False, True, False, False
51, 18.21111, 1.811487, 0.6497796, 1.665404, -0.2927499, False, True, False, False
52, 18.31111, 1.810487, 0.6352302, 1.679371, -0.232511, False, True, False, False
53, 18.4, 1.810811, 0.6233554, 1.691126, -0.1748001, False, True, False, False
54, 18.48889, 1.803511, 0.6149715, 1.691589, -0.1139766, False, True, False, False
55, 18.56667, 1.804924, 0.6120204, 1.69699, -0.05836904, False, False, True, False
56, 18.64445, 1.812779, 0.6066351, 1.708237, -0.00932169, False, False, True, False
57, 18.73333, 1.814804, 0.6026778, 1.711309, 0.04140902, False, False, False, False
58, 18.82222, 1.826896, 0.595539, 1.724776, 0.08961022, False, False, False, False
59, 18.93333, 1.842219, 0.6037626, 1.734141, 0.1483107, False, False, False, False
60, 19.05556, 1.850755, 0.6114549, 1.735157, 0.2016108, False, False, False, False
61, 19.12222, 1.864387, 0.6174436, 1.740084, 0.2584773, False, False, False, False
62, 19.22222, 1.877484, 0.6202667, 1.742599, 0.321815, False, False, False, False
63, 19.28889, 1.884793, 0.6166078, 1.741353, 0.3740703, False, False, False, False
64, 19.37778, 1.893034, 0.6072346, 1.741151, 0.4280614, False, False, False, False
65, 19.45556, 1.898184, 0.5966909, 1.735172, 0.4860452, False, False, False, False
66, 19.5, 1.904093, 0.5870708, 1.729817, 0.5372622, False, False, False, False
67, 19.56667, 1.912121, 0.5756611, 1.723531, 0.595197, False, False, False, False
68, 19.63333, 1.922788, 0.5627685, 1.717597, 0.6559465, False, False, False, False
69, 19.7, 1.937021, 0.5494584, 1.712795, 0.7186639, False, False, False, False
70, 19.76667, 1.95957, 0.5374497, 1.713479, 0.7842541, False, False, False, False
71, 19.83333, 1.990221, 0.5313401, 1.720217, 0.8482406, False, False, False, False
72, 19.9, 2.01506, 0.530127, 1.72414, 0.8982059, False, False, False, False
73, 20, 2.037763, 0.5278553, 1.721087, 0.954833, False, False, False, False
74, 20.06667, 2.062684, 0.5242978, 1.716198, 1.017076, False, False, False, False
75, 20.15556, 2.086902, 0.5217278, 1.712984, 1.071749, False, False, False, False
76, 20.23333, 2.117155, 0.5132661, 1.710617, 1.136966, False, False, False, False
77, 20.31111, 2.136879, 0.5047216, 1.703605, 1.187113, False, False, False, False
78, 20.35556, 2.161609, 0.4938642, 1.694052, 1.248535, False, False, False, False
79, 20.41111, 2.187065, 0.4844946, 1.686331, 1.305683, False, False, False, False
80, 20.47778, 2.215632, 0.4755283, 1.67929, 1.364874, False, False, False, False
81, 20.54445, 2.250978, 0.4670297, 1.678212, 1.42562, False, False, False, False
82, 20.61111, 2.292644, 0.458244, 1.685622, 1.484894, False, False, False, False
83, 20.67778, 2.335178, 0.4464953, 1.692511, 1.545672, False, False, False, False
84, 20.74445, 2.373448, 0.4309155, 1.696282, 1.603182, False, False, False, False
85, 20.83333, 2.405326, 0.4117012, 1.696458, 1.654728, False, False, False, False
86, 20.92222, 2.446246, 0.3889313, 1.69614, 1.719291, False, False, False, False
87, 20.97778, 2.474273, 0.3724423, 1.691936, 1.766541, False, False, False, False
88, 21.04445, 2.504899, 0.3503334, 1.683012, 1.821882, False, False, False, False
89, 21.11111, 2.531214, 0.3300354, 1.67563, 1.868258, False, False, False, False
90, 21.15556, 2.562028, 0.3092347, 1.671552, 1.916841, False, False, False, False
91, 21.23333, 2.614199, 0.2797708, 1.675816, 1.986809, False, False, False, False
92, 21.28889, 2.667985, 0.2551316, 1.696806, 2.043013, False, False, False, False
93, 21.33333, 2.712177, 0.234862, 1.706631, 2.094793, False, False, False, False
94, 21.4, 2.7546, 0.2209671, 1.712019, 2.146622, False, False, False, False
95, 21.48889, 2.805382, 0.2124962, 1.718204, 2.207438, False, False, False, False
96, 21.57778, 2.852481, 0.2097428, 1.721783, 2.264535, False, False, False, False
97, 21.66667, 2.894029, 0.2086426, 1.719014, 2.318806, False, False, False, False
98, 21.8, 2.94401, 0.209869, 1.71555, 2.383284, False, False, False, False
99, 21.88889, 2.985748, 0.2104853, 1.712855, 2.436496, False, False, False, False
100, 21.95556, 3.02914, 0.2112472, 1.709855, 2.491477, False, False, False, False
101, 22.03333, 3.075908, 0.2122183, 1.714853, 2.544691, False, False, False, False
102, 22.12222, 3.135794, 0.2134019, 1.732016, 2.605338, False, False, False, False
