--------------------------------
Condition: 1 A
--------------------------------
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0, 6.566667, 3.224051, 0.03307451, 1.548564, -2.827607, False, True, False, False
1, 6.777778, 3.192713, 0.07365705, 1.536054, -2.797951, False, True, False, False
2, 7.144444, 3.221022, 0.05848259, 1.585209, -2.803332, False, True, False, False
3, 7.388889, 3.255717, 0.02347251, 1.593126, -2.839206, False, True, False, False
4, 8.922222, 3.222133, 0.06268996, 1.58469, -2.804811, False, True, False, False
5, 9.411111, 3.170351, 0.06459451, 1.568828, -2.754221, False, True, False, False
6, 9.577778, 3.137032, 0.02715722, 1.563584, -2.719455, False, True, False, False
7, 9.7, 3.110153, -0.01502521, 1.567067, -2.686471, False, True, False, True
8, 9.822223, 3.088981, -0.05603259, 1.574139, -2.657207, False, True, False, True
9, 10.04445, 3.063092, -0.09438395, 1.576851, -2.624341, False, True, False, True
10, 10.52222, 3.015578, -0.08981217, 1.568494, -2.573999, False, True, False, True
11, 10.7, 2.964828, -0.08131577, 1.55652, -2.52207, False, True, False, True
12, 10.8, 2.917002, -0.05762716, 1.548616, -2.471309, False, True, False, True
13, 10.9, 2.874991, -0.02420136, 1.539814, -2.427748, False, True, False, True
14, 11.01111, 2.839466, 0.01439231, 1.540746, -2.38505, False, True, False, False
15, 11.12222, 2.806086, 0.04734773, 1.550445, -2.338375, False, True, False, False
16, 11.25556, 2.759027, 0.07031247, 1.542457, -2.286507, False, True, False, False
17, 11.4, 2.711487, 0.08112016, 1.539192, -2.2308, False, True, False, False
18, 11.51111, 2.664737, 0.08216889, 1.530958, -2.179503, False, True, False, False
19, 11.61111, 2.610569, 0.07164285, 1.522492, -2.119424, False, True, False, False
20, 11.7, 2.568277, 0.05749624, 1.51942, -2.069808, False, True, False, False
21, 11.78889, 2.531343, 0.04051409, 1.533214, -2.01378, False, True, False, False
22, 11.87778, 2.498696, 0.02852193, 1.55146, -1.958479, False, True, False, False
23, 11.98889, 2.456904, 0.02808547, 1.551967, -1.904465, False, True, False, False
24, 12.1, 2.416894, 0.0378186, 1.555152, -1.849716, False, True, False, False
25, 12.23333, 2.377865, 0.05649903, 1.554326, -1.798644, False, True, False, False
26, 12.33333, 2.34491, 0.08380032, 1.565911, -1.743417, False, True, False, False
27, 12.42222, 2.320193, 0.1123293, 1.57314, -1.701736, False, True, False, False
28, 12.51111, 2.294704, 0.1415351, 1.580274, -1.65782, False, True, False, False
29, 12.6, 2.271129, 0.1662594, 1.59216, -1.611028, False, True, False, False
30, 12.66667, 2.239419, 0.1838007, 1.592464, -1.563737, False, True, False, False
31, 12.76667, 2.198347, 0.1923776, 1.593717, -1.501928, False, True, False, False
32, 12.85556, 2.159435, 0.1922473, 1.589142, -1.449423, False, True, False, False
33, 12.94444, 2.115622, 0.1846175, 1.578851, -1.396068, False, True, False, False
34, 13.03333, 2.075114, 0.1709912, 1.571401, -1.344455, False, True, False, False
35, 13.12222, 2.053388, 0.159112, 1.585222, -1.295436, False, True, False, False
36, 13.25556, 2.032197, 0.1535304, 1.597658, -1.246491, False, True, False, False
37, 13.36667, 2.001118, 0.1563444, 1.598256, -1.193989, False, True, False, False
38, 13.48889, 1.986485, 0.1734938, 1.615334, -1.143118, False, True, False, False
39, 13.61111, 1.967526, 0.2049171, 1.618365, -1.100029, False, True, False, False
40, 13.7, 1.942557, 0.2466767, 1.61192, -1.055647, False, True, False, False
41, 13.77778, 1.925944, 0.288419, 1.611161, -1.015005, False, True, False, False
42, 13.86667, 1.920282, 0.3298011, 1.622959, -0.9719665, False, True, False, False
43, 13.95556, 1.90401, 0.3643662, 1.621719, -0.9287195, False, True, False, False
44, 14.06667, 1.882797, 0.3955057, 1.619222, -0.8755691, False, True, False, False
45, 14.2, 1.864965, 0.4172128, 1.619382, -0.8256092, False, True, False, False
46, 14.3, 1.837162, 0.4323565, 1.610318, -0.7714325, False, True, False, False
47, 14.38889, 1.810295, 0.4412451, 1.601449, -0.719604, False, True, False, False
48, 14.47778, 1.784691, 0.4477419, 1.5951, -0.6635557, False, True, False, False
49, 14.56667, 1.775587, 0.4590624, 1.60523, -0.6043222, False, True, False, False
50, 14.65556, 1.746609, 0.4747694, 1.591037, -0.5420682, False, True, False, False
51, 14.72222, 1.722783, 0.4908918, 1.578088, -0.4864637, False, True, False, False
52, 14.81111, 1.706504, 0.507, 1.571024, -0.4324237, False, True, False, False
53, 14.9, 1.688142, 0.5266756, 1.558455, -0.3790185, False, True, False, False
54, 14.98889, 1.671562, 0.553821, 1.543136, -0.3257849, False, True, False, False
55, 15.07778, 1.662804, 0.586043, 1.532594, -0.2694919, False, True, False, False
56, 15.16667, 1.669068, 0.6118329, 1.537312, -0.2193578, False, True, False, False
57, 15.27778, 1.674533, 0.6295434, 1.542728, -0.1665087, False, True, False, False
58, 15.37778, 1.669602, 0.6366922, 1.539088, -0.1157771, False, True, False, False
59, 15.48889, 1.65979, 0.6314909, 1.533764, -0.0607295, False, False, True, False
60, 15.58889, 1.643361, 0.6162987, 1.523392, -0.009370208, False, False, True, False
61, 15.65556, 1.621527, 0.5910553, 1.509344, 0.0433898, False, False, False, False
62, 15.74444, 1.607027, 0.5613364, 1.502922, 0.09307075, False, False, False, False
63, 15.83333, 1.613652, 0.5305202, 1.516884, 0.1465794, False, False, False, False
64, 15.92222, 1.61508, 0.5083044, 1.521026, 0.1912849, False, False, False, False
65, 16.03333, 1.610358, 0.4816838, 1.517471, 0.241904, False, False, False, False
66, 16.16667, 1.608659, 0.4653026, 1.511569, 0.2940006, False, False, False, False
67, 16.25556, 1.60742, 0.453422, 1.503066, 0.3449643, False, False, False, False
68, 16.34444, 1.609238, 0.4431804, 1.494553, 0.399435, False, False, False, False
69, 16.43333, 1.615208, 0.4364995, 1.485756, 0.4592321, False, False, False, False
70, 16.52222, 1.630438, 0.4362791, 1.484231, 0.5148262, False, False, False, False
71, 16.58889, 1.662331, 0.4335297, 1.500607, 0.5688379, False, False, False, False
72, 16.65556, 1.700431, 0.4317781, 1.522159, 0.6229482, False, False, False, False
73, 16.78889, 1.748784, 0.4311156, 1.556332, 0.6709812, False, False, False, False
74, 16.94444, 1.794732, 0.4351247, 1.588065, 0.7139885, False, False, False, False
75, 17.15556, 1.806419, 0.4070957, 1.588308, 0.7580889, False, False, False, False
76, 17.3, 1.806931, 0.3613788, 1.583508, 0.7917747, False, False, False, False
77, 17.41111, 1.814678, 0.3123399, 1.589169, 0.8185601, False, False, False, False
78, 17.5, 1.83814, 0.2589716, 1.605831, 0.8561541, False, False, False, False
79, 17.55556, 1.853512, 0.2126667, 1.603361, 0.9052691, False, False, False, False
80, 17.61111, 1.87202, 0.1857209, 1.591873, 0.9674243, False, False, False, False
81, 17.67778, 1.896817, 0.1867708, 1.579293, 1.033858, False, False, False, False
82, 17.74445, 1.922937, 0.2063394, 1.571012, 1.089509, False, False, False, False
83, 17.83333, 1.950385, 0.225165, 1.561368, 1.146923, False, False, False, False
