--------------------------------
Condition: 01
--------------------------------
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0, 12.26667, 3.849085, 0.1944731, 1.657683, -3.468389, False, True, False, False
1, 13.31111, 3.821233, 0.2329341, 1.656263, -3.435747, False, True, False, False
2, 13.58889, 3.77757, 0.2453276, 1.656635, -3.386061, False, True, False, False
3, 13.73333, 3.726625, 0.2309268, 1.646335, -3.335264, False, True, False, False
4, 13.84445, 3.679921, 0.2043467, 1.638813, -3.288518, False, True, False, False
5, 13.93333, 3.641799, 0.1770898, 1.640603, -3.246499, False, True, False, False
6, 14.02222, 3.603146, 0.1499169, 1.648227, -3.200552, False, True, False, False
7, 14.12222, 3.559498, 0.1251732, 1.649977, -3.151496, False, True, False, False
8, 14.23333, 3.513913, 0.1090017, 1.651813, -3.099552, False, True, False, False
9, 14.34445, 3.468661, 0.1046506, 1.653598, -3.047338, False, True, False, False
10, 14.44444, 3.418443, 0.1072472, 1.647539, -2.993304, False, True, False, False
11, 14.53333, 3.368321, 0.1135997, 1.639012, -2.940463, False, True, False, False
12, 14.62222, 3.31789, 0.1271758, 1.629599, -2.887322, False, True, False, False
13, 14.7, 3.275528, 0.1432357, 1.630972, -2.836987, False, True, False, False
14, 14.77778, 3.234921, 0.1573216, 1.640201, -2.783829, False, True, False, False
15, 14.85556, 3.194731, 0.1668771, 1.646279, -2.732805, False, True, False, False
16, 14.93333, 3.15451, 0.1703124, 1.650735, -2.682723, False, True, False, False
17, 15.02222, 3.107599, 0.1696541, 1.652979, -2.626033, False, True, False, False
18, 15.1, 3.06189, 0.1656254, 1.64882, -2.574709, False, True, False, False
19, 15.17778, 3.011468, 0.1563284, 1.641499, -2.519917, False, True, False, False
20, 15.24444, 2.965846, 0.1437845, 1.632178, -2.472157, False, True, False, False
21, 15.31111, 2.921615, 0.1268091, 1.623487, -2.425705, False, True, False, False
22, 15.37778, 2.883793, 0.1059764, 1.624853, -2.380102, False, True, False, False
23, 15.44444, 2.85198, 0.08443584, 1.634887, -2.335339, False, True, False, False
24, 15.52222, 2.812305, 0.06315731, 1.63477, -2.287487, False, True, False, False
25, 15.6, 2.769491, 0.04724213, 1.628361, -2.239707, False, True, False, False
26, 15.67778, 2.726086, 0.03697823, 1.623882, -2.189334, False, True, False, False
27, 15.75556, 2.680008, 0.03009519, 1.615051, -2.138493, False, True, False, False
28, 15.83333, 2.632852, 0.02779392, 1.606438, -2.085784, False, True, False, False
29, 15.91111, 2.583672, 0.02842206, 1.598141, -2.029901, False, True, False, False
30, 15.98889, 2.537441, 0.03178764, 1.594814, -1.973364, False, True, False, False
31, 16.06667, 2.498925, 0.03686674, 1.604267, -1.915618, False, True, False, False
32, 16.14445, 2.463932, 0.03951312, 1.615274, -1.860185, False, True, False, False
33, 16.22222, 2.426813, 0.03699518, 1.618372, -1.808016, False, True, False, False
34, 16.31111, 2.391855, 0.02767615, 1.622875, -1.756839, False, True, False, False
35, 16.4, 2.358876, 0.01605581, 1.628218, -1.706734, False, True, False, False
36, 16.5, 2.322524, -0.0009500608, 1.627126, -1.657279, True, True, False, False
37, 16.6, 2.288123, -0.02891172, 1.624829, -1.610777, False, True, False, True
38, 16.68889, 2.265645, -0.06257867, 1.631689, -1.570613, False, True, False, True
39, 16.77778, 2.245844, -0.09734806, 1.641237, -1.529928, False, True, False, True
40, 16.86667, 2.217707, -0.125006, 1.639719, -1.487925, False, True, False, True
41, 16.96667, 2.190485, -0.1464168, 1.643134, -1.441145, False, True, False, True
42, 17.07778, 2.155806, -0.1626064, 1.640656, -1.388994, False, True, False, True
43, 17.17778, 2.120916, -0.1713049, 1.635709, -1.339177, False, True, False, True
44, 17.28889, 2.081933, -0.1736924, 1.628865, -1.284941, False, True, False, True
45, 17.4, 2.058381, -0.1715916, 1.638189, -1.234434, False, True, False, True
46, 17.51111, 2.030686, -0.169409, 1.642154, -1.182504, False, True, False, True
47, 17.62222, 1.999045, -0.1709616, 1.638585, -1.132251, False, True, False, True
48, 17.77778, 1.971791, -0.1809433, 1.639648, -1.080173, False, True, False, True
49, 17.91111, 1.946211, -0.2080646, 1.634071, -1.036464, False, True, False, True
50, 18.02222, 1.92936, -0.2494471, 1.628505, -1.00408, False, True, False, True
51, 18.12222, 1.926067, -0.2976044, 1.632328, -0.9780961, False, True, False, True
52, 18.22222, 1.928082, -0.347191, 1.63856, -0.9550283, False, True, False, True
53, 18.32222, 1.923983, -0.3940786, 1.637058, -0.9308348, False, True, False, True
54, 18.44444, 1.914091, -0.4339209, 1.635678, -0.8944362, False, True, False, True
55, 18.57778, 1.893805, -0.4581469, 1.629142, -0.849998, False, True, False, True
56, 18.71111, 1.865544, -0.4656264, 1.621311, -0.796741, False, True, False, True
57, 18.82222, 1.833768, -0.4568177, 1.610936, -0.7476016, False, True, False, True
58, 18.92222, 1.797026, -0.4398577, 1.596004, -0.6989988, False, True, False, True
59, 19.01111, 1.769343, -0.4241135, 1.590023, -0.6500216, False, True, False, True
60, 19.1, 1.7478, -0.4134564, 1.589046, -0.5989918, False, True, False, True
61, 19.18889, 1.725436, -0.4101621, 1.583607, -0.5487101, False, True, False, True
62, 19.28889, 1.705997, -0.4132053, 1.578895, -0.4967668, False, True, False, True
63, 19.4, 1.699728, -0.4276755, 1.582963, -0.4476567, False, True, False, True
64, 19.51111, 1.704568, -0.4576271, 1.591326, -0.4047346, False, True, False, True
65, 19.61111, 1.712845, -0.5000562, 1.595993, -0.3695803, False, True, False, True
66, 19.7, 1.72938, -0.5416255, 1.607788, -0.3352844, False, True, False, True
67, 19.78889, 1.745743, -0.5751064, 1.62094, -0.2990419, False, True, False, True
68, 19.88889, 1.752247, -0.5985209, 1.627003, -0.2549567, False, True, False, True
69, 20, 1.746511, -0.6100224, 1.623665, -0.2046637, False, True, False, True
70, 20.1, 1.736011, -0.6086829, 1.618681, -0.1520238, False, True, False, True
71, 20.16667, 1.720593, -0.598802, 1.60988, -0.100816, False, True, False, True
72, 20.24445, 1.703606, -0.5857368, 1.598996, -0.04896349, False, False, True, True
73, 20.31111, 1.695311, -0.5704273, 1.59645, 0.00610733, False, False, False, True
74, 20.37778, 1.696808, -0.5567685, 1.601744, 0.05986798, False, False, False, True
75, 20.44444, 1.698339, -0.547385, 1.603868, 0.1110489, False, False, False, True
76, 20.51111, 1.700873, -0.5402644, 1.604578, 0.1625252, False, False, False, True
77, 20.58889, 1.703797, -0.5341235, 1.602856, 0.2202063, False, False, False, True
78, 20.66667, 1.706117, -0.5284067, 1.598167, 0.2783611, False, False, False, True
79, 20.73333, 1.70593, -0.5259242, 1.58782, 0.335305, False, False, False, True
80, 20.81111, 1.7052, -0.5203588, 1.576071, 0.391068, False, False, False, True
81, 20.87778, 1.708831, -0.5174904, 1.565565, 0.4486802, False, False, False, True
82, 20.94444, 1.72144, -0.5165669, 1.561543, 0.5080316, False, False, False, True
83, 21, 1.748531, -0.5160607, 1.571477, 0.5670121, False, False, False, True
84, 21.07778, 1.774493, -0.5132661, 1.580088, 0.6234622, False, False, False, True
85, 21.14445, 1.801555, -0.5024331, 1.588102, 0.6863632, False, False, False, True
86, 21.21111, 1.820714, -0.4898176, 1.591244, 0.7369004, False, False, False, True
87, 21.28889, 1.839901, -0.4699134, 1.589896, 0.7979016, False, False, False, True
88, 21.35556, 1.853143, -0.4491418, 1.582946, 0.8524621, False, False, False, True
89, 21.41111, 1.863185, -0.4289264, 1.57453, 0.8990748, False, False, False, True
90, 21.46667, 1.873026, -0.4055998, 1.564658, 0.9463409, False, False, False, True
91, 21.52222, 1.889494, -0.3804223, 1.560981, 0.9943879, False, False, False, True
92, 21.57778, 1.915903, -0.3555392, 1.567437, 1.042792, False, False, False, True
93, 21.65556, 1.948214, -0.3336489, 1.575458, 1.096424, False, False, False, True
94, 21.71111, 1.984913, -0.318141, 1.584645, 1.1522, False, False, False, True
95, 21.78889, 2.0179, -0.3082279, 1.587051, 1.207552, False, False, False, True
96, 21.85556, 2.0467, -0.300775, 1.581292, 1.264132, False, False, False, True
97, 21.92222, 2.073014, -0.2975319, 1.569173, 1.321574, False, False, False, True
98, 21.97778, 2.096085, -0.2977546, 1.557493, 1.370813, False, False, False, True
99, 22.03333, 2.122563, -0.30021, 1.546961, 1.421991, False, False, False, True
100, 22.08889, 2.154504, -0.3044674, 1.542459, 1.473095, False, False, False, True
101, 22.15556, 2.199282, -0.3078992, 1.548728, 1.530842, False, False, False, True
102, 22.22222, 2.241661, -0.3053927, 1.5565, 1.58401, False, False, False, True
103, 22.28889, 2.280597, -0.2970649, 1.56426, 1.632778, False, False, False, True
104, 22.36667, 2.324338, -0.2842801, 1.572944, 1.687477, False, False, False, True
105, 22.44444, 2.365501, -0.2681071, 1.577981, 1.741749, False, False, False, True
106, 22.52222, 2.401072, -0.248668, 1.575795, 1.794486, False, False, False, True
107, 22.58889, 2.430585, -0.2282727, 1.570581, 1.8409, False, False, False, True
108, 22.65556, 2.46387, -0.204953, 1.57038, 1.887473, False, False, False, True
109, 22.72222, 2.502851, -0.1825985, 1.579285, 1.933076, False, False, False, True
110, 22.8, 2.546956, -0.1619468, 1.588071, 1.984638, False, False, False, True
111, 22.87778, 2.589099, -0.1485499, 1.592258, 2.036192, False, False, False, True
112, 22.95556, 2.62972, -0.1402988, 1.59308, 2.087543, False, False, False, True
113, 23.03333, 2.66766, -0.1366969, 1.587381, 2.139613, False, False, False, True
114, 23.11111, 2.7054, -0.1380479, 1.577886, 2.193264, False, False, False, True
