--------------------------------
Condition: 5 B
--------------------------------
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0, 3.422222, 3.52694, -0.01643691, 1.756057, -3.058644, False, True, False, True
1, 4.488889, 3.509586, 0.0328871, 1.752531, -3.040517, False, True, False, False
2, 4.733334, 3.478849, 0.07139083, 1.746485, -3.007837, False, True, False, False
3, 5.022223, 3.431668, 0.06250337, 1.742709, -2.955571, False, True, False, False
4, 5.166667, 3.387948, 0.02586751, 1.73739, -2.908436, False, True, False, False
5, 5.277778, 3.35109, -0.01400949, 1.733693, -2.867738, False, True, False, True
6, 5.388889, 3.312507, -0.05825138, 1.729056, -2.824832, False, True, False, True
7, 5.477778, 3.277162, -0.1041797, 1.726806, -2.783358, False, True, False, True
8, 5.544445, 3.255087, -0.142784, 1.734666, -2.750662, False, True, False, True
9, 5.633334, 3.234044, -0.1908932, 1.749789, -2.713087, False, True, False, True
10, 5.722222, 3.204476, -0.2312373, 1.746466, -2.676761, False, True, False, True
11, 5.833333, 3.173249, -0.2665194, 1.750669, -2.633179, False, True, False, True
12, 5.977778, 3.13263, -0.2949266, 1.751682, -2.58031, False, True, False, True
13, 6.077778, 3.087571, -0.3149879, 1.745351, -2.527376, False, True, False, True
14, 6.144444, 3.041804, -0.3287989, 1.739004, -2.47393, False, True, False, True
15, 6.211111, 2.997756, -0.3389369, 1.731052, -2.423865, False, True, False, True
16, 6.288889, 2.949366, -0.3479495, 1.721941, -2.369095, False, True, False, True
17, 6.344445, 2.906099, -0.3550594, 1.71435, -2.319557, False, True, False, True
18, 6.4, 2.853553, -0.3627085, 1.706692, -2.257966, False, True, False, True
19, 6.455556, 2.807652, -0.3699731, 1.710575, -2.195442, False, True, False, True
20, 6.511111, 2.772446, -0.376747, 1.727843, -2.1352, False, True, False, True
21, 6.566667, 2.741411, -0.3864715, 1.741321, -2.081772, False, True, False, True
22, 6.633334, 2.709568, -0.4017523, 1.747443, -2.031452, False, True, False, True
23, 6.722222, 2.668656, -0.4241614, 1.750146, -1.969467, False, True, False, True
24, 6.811111, 2.628086, -0.4489768, 1.749907, -1.908685, False, True, False, True
25, 6.877778, 2.593694, -0.4718117, 1.744011, -1.860931, False, True, False, True
26, 6.966667, 2.558159, -0.4992338, 1.736785, -1.810668, False, True, False, True
27, 7.044445, 2.522153, -0.5305159, 1.727593, -1.759327, False, True, False, True
28, 7.1, 2.492997, -0.5598304, 1.719759, -1.715824, False, True, False, True
29, 7.155556, 2.466263, -0.5915623, 1.713606, -1.672143, False, True, False, True
30, 7.211111, 2.446354, -0.6252432, 1.714599, -1.62907, False, True, False, True
31, 7.266667, 2.437205, -0.6581687, 1.729293, -1.586294, False, True, False, True
32, 7.333333, 2.431476, -0.6879388, 1.746023, -1.546034, False, True, False, True
33, 7.388889, 2.417028, -0.7169957, 1.757201, -1.496725, False, True, False, True
34, 7.466667, 2.394321, -0.7402874, 1.757992, -1.447139, False, True, False, True
35, 7.522223, 2.366737, -0.7623881, 1.75409, -1.394051, False, True, False, True
36, 7.6, 2.339576, -0.7819344, 1.756636, -1.332824, False, True, False, True
37, 7.655556, 2.313995, -0.795037, 1.753764, -1.283278, False, True, False, True
38, 7.722222, 2.284031, -0.8073639, 1.746296, -1.231021, False, True, False, True
39, 7.788889, 2.250277, -0.817784, 1.735766, -1.175624, False, True, False, True
40, 7.855556, 2.214426, -0.8252773, 1.725031, -1.116633, False, True, False, True
41, 7.922223, 2.178018, -0.8299265, 1.715835, -1.053988, False, True, False, True
42, 7.988889, 2.15206, -0.8317499, 1.713376, -1.001947, False, True, False, True
43, 8.077778, 2.137661, -0.8335983, 1.723886, -0.9502245, False, True, False, True
44, 8.133333, 2.125761, -0.8354665, 1.73961, -0.8914093, False, True, False, True
45, 8.211111, 2.113168, -0.8422447, 1.753599, -0.825223, False, True, False, True
46, 8.288889, 2.095796, -0.851689, 1.755739, -0.7644405, False, True, False, True
47, 8.366667, 2.077305, -0.8611354, 1.753178, -0.7071135, False, True, False, True
48, 8.444445, 2.06027, -0.8709892, 1.750035, -0.6507457, False, True, False, True
49, 8.533334, 2.04124, -0.8873537, 1.742781, -0.584789, False, True, False, True
50, 8.611112, 2.022965, -0.9088221, 1.732933, -0.5131975, False, True, False, True
51, 8.666667, 2.012612, -0.9284312, 1.727059, -0.453752, False, True, False, True
52, 8.722222, 2.006906, -0.9504347, 1.723052, -0.3942577, False, True, False, True
53, 8.788889, 2.015764, -0.9731518, 1.732714, -0.3376133, False, True, False, True
54, 8.855556, 2.037961, -0.9955066, 1.755707, -0.2823883, False, True, False, True
55, 8.922222, 2.046605, -1.011681, 1.764323, -0.2285945, False, True, False, True
56, 8.988889, 2.044599, -1.020972, 1.76285, -0.1742364, False, True, False, True
57, 9.066667, 2.038467, -1.025433, 1.757523, -0.1222686, False, True, False, True
58, 9.155556, 2.037686, -1.023342, 1.760924, -0.06388056, False, False, True, True
59, 9.277778, 2.02798, -1.016778, 1.75467, -0.000500679, False, False, True, True
60, 9.355556, 2.015779, -1.005949, 1.745876, 0.05788183, False, False, False, True
61, 9.433333, 2.002277, -0.990322, 1.736157, 0.1188822, False, False, False, True
62, 9.511111, 1.990124, -0.9730179, 1.727333, 0.1736467, False, False, False, True
63, 9.566667, 1.979661, -0.9525803, 1.720234, 0.2289997, False, False, False, True
64, 9.622223, 1.983325, -0.932446, 1.728605, 0.2757626, False, False, False, True
65, 9.677778, 1.990664, -0.9121857, 1.740086, 0.3205659, False, False, False, True
66, 9.755556, 2.004136, -0.8865777, 1.756482, 0.3811951, False, False, False, True
67, 9.833334, 2.009686, -0.8647594, 1.758344, 0.4463828, False, False, False, True
68, 9.911111, 2.011316, -0.8469299, 1.754862, 0.4985591, False, False, False, True
69, 10, 2.016746, -0.828504, 1.752841, 0.5553341, False, False, False, True
70, 10.07778, 2.022972, -0.8142251, 1.746863, 0.6147528, False, False, False, True
71, 10.13333, 2.029071, -0.8047906, 1.740137, 0.6643525, False, False, False, True
72, 10.18889, 2.036963, -0.7967001, 1.732037, 0.71731, False, False, False, True
73, 10.25556, 2.048471, -0.7896631, 1.725397, 0.7717961, False, False, False, True
74, 10.32222, 2.065517, -0.782806, 1.722375, 0.8288538, False, False, False, True
75, 10.38889, 2.090199, -0.7759837, 1.726496, 0.8865635, False, False, False, True
76, 10.45556, 2.128544, -0.7697423, 1.74615, 0.9429529, False, False, False, True
77, 10.52222, 2.161452, -0.7635182, 1.759814, 0.9959755, False, False, False, True
78, 10.61111, 2.184008, -0.7503751, 1.758233, 1.056147, False, False, False, True
79, 10.7, 2.202754, -0.7339935, 1.75339, 1.113104, False, False, False, True
80, 10.78889, 2.228199, -0.7167395, 1.755706, 1.169894, False, False, False, True
81, 10.87778, 2.250005, -0.6973267, 1.750098, 1.230209, False, False, False, True
82, 10.94444, 2.266438, -0.6799217, 1.743653, 1.278328, False, False, False, True
83, 11.01111, 2.282165, -0.6587566, 1.735263, 1.327847, False, False, False, True
84, 11.1, 2.297651, -0.631969, 1.725397, 1.379427, False, False, False, True
85, 11.17778, 2.312605, -0.6017247, 1.715746, 1.429084, False, False, False, True
86, 11.25556, 2.342964, -0.5621427, 1.722138, 1.485838, False, False, False, True
87, 11.31111, 2.370001, -0.5318038, 1.735904, 1.523393, False, False, False, True
88, 11.37778, 2.402607, -0.4983872, 1.751107, 1.567723, False, False, False, True
89, 11.45556, 2.43202, -0.4661302, 1.755437, 1.61737, False, False, False, True
90, 11.53333, 2.455913, -0.4383863, 1.752254, 1.66401, False, False, False, True
91, 11.61111, 2.484421, -0.4100024, 1.748997, 1.716174, False, False, False, True
92, 11.67778, 2.513534, -0.3873171, 1.744401, 1.76774, False, False, False, True
93, 11.76667, 2.544425, -0.370782, 1.737168, 1.821776, False, False, False, True
94, 11.85556, 2.579252, -0.3589817, 1.72969, 1.879321, False, False, False, True
95, 11.94444, 2.62297, -0.3506244, 1.726177, 1.943541, False, False, False, True
96, 12.01111, 2.658331, -0.3467223, 1.724195, 1.993404, False, False, False, True
97, 12.1, 2.701486, -0.3431274, 1.730827, 2.045612, False, False, False, True
98, 12.18889, 2.75568, -0.3392602, 1.7486, 2.102635, False, False, False, True
99, 12.26667, 2.796934, -0.3328604, 1.752843, 2.15397, False, False, False, True
100, 12.36667, 2.834467, -0.3209576, 1.749667, 2.206775, False, False, False, True
101, 12.47778, 2.876785, -0.302627, 1.760196, 2.25522, False, False, False, True
102, 12.57778, 2.910147, -0.2828583, 1.757486, 2.302215, False, False, False, True
103, 12.66667, 2.946266, -0.2595122, 1.75035, 2.35572, False, False, False, True
104, 12.74444, 2.983517, -0.2317698, 1.741888, 2.411117, False, False, False, True
105, 12.82222, 3.018477, -0.2015504, 1.735244, 2.461607, False, False, False, True
106, 12.91111, 3.057888, -0.1675343, 1.739926, 2.509038, False, False, False, True
107, 13, 3.109092, -0.1293144, 1.76526, 2.556088, False, False, False, True
108, 13.08889, 3.145876, -0.09608801, 1.765858, 2.60174, False, False, False, True
