--------------------------------
Condition: 21
--------------------------------
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0, 7.055556, 3.208082, 0.047492, 1.730531, -2.700888, False, True, False, False
1, 8.211111, 3.169852, 0.01385706, 1.70652, -2.671246, False, True, False, False
2, 8.488889, 3.150793, -0.03055003, 1.685087, -2.662151, False, True, False, True
3, 9.077778, 3.102996, -0.0347699, 1.672461, -2.613475, False, True, False, True
4, 9.211111, 3.057091, -0.00269768, 1.663059, -2.565158, False, True, False, True
5, 9.277778, 3.012712, 0.03487747, 1.652954, -2.518523, False, True, False, False
6, 9.366667, 2.972971, 0.0728917, 1.653706, -2.469514, False, True, False, False
7, 9.455556, 2.939772, 0.1090005, 1.660689, -2.423322, False, True, False, False
8, 9.544445, 2.914283, 0.141238, 1.675254, -2.380467, False, True, False, False
9, 9.655556, 2.879843, 0.1713094, 1.682364, -2.331051, False, True, False, False
10, 9.788889, 2.844612, 0.1897285, 1.685546, -2.283584, False, True, False, False
11, 9.888889, 2.800248, 0.2026953, 1.678923, -2.231933, False, True, False, False
12, 9.977778, 2.755107, 0.2092548, 1.6706, -2.180808, False, True, False, False
13, 10.07778, 2.70063, 0.2109856, 1.663227, -2.117207, False, True, False, False
14, 10.14444, 2.656396, 0.2083465, 1.659779, -2.063532, False, True, False, False
15, 10.2, 2.619204, 0.2035331, 1.662363, -2.013791, False, True, False, False
16, 10.25556, 2.587111, 0.1987996, 1.672439, -1.963815, False, True, False, False
17, 10.34444, 2.552215, 0.1971902, 1.685623, -1.906199, False, True, False, False
18, 10.43333, 2.515168, 0.199972, 1.692081, -1.850119, False, True, False, False
19, 10.52222, 2.474982, 0.2079239, 1.691995, -1.794284, False, True, False, False
20, 10.61111, 2.434907, 0.220719, 1.690421, -1.738544, False, True, False, False
21, 10.72222, 2.399278, 0.2353907, 1.687424, -1.689298, False, True, False, False
22, 10.8, 2.36244, 0.2533967, 1.682882, -1.638541, False, True, False, False
23, 10.86667, 2.324777, 0.2759931, 1.677313, -1.585886, False, True, False, False
24, 10.94444, 2.293645, 0.2976221, 1.673788, -1.539696, False, True, False, False
25, 11.01111, 2.271061, 0.3192389, 1.683874, -1.490092, False, True, False, False
26, 11.07778, 2.248197, 0.3418767, 1.697821, -1.433497, False, True, False, False
27, 11.14444, 2.221073, 0.3599302, 1.703713, -1.37876, False, True, False, False
28, 11.21111, 2.188141, 0.3712525, 1.704702, -1.320653, False, True, False, False
29, 11.31111, 2.153961, 0.3754627, 1.703827, -1.26315, False, True, False, False
30, 11.4, 2.117995, 0.3737339, 1.701282, -1.204933, False, True, False, False
31, 11.48889, 2.077624, 0.3665455, 1.694614, -1.144748, False, True, False, False
32, 11.56667, 2.04116, 0.3535573, 1.687888, -1.091956, False, True, False, False
33, 11.67778, 2.014706, 0.3374392, 1.693365, -1.03812, False, True, False, False
34, 11.75556, 1.99682, 0.3219535, 1.706511, -0.9856249, False, True, False, False
35, 11.83333, 1.971851, 0.3091761, 1.707996, -0.935604, False, True, False, False
36, 11.91111, 1.945606, 0.2987502, 1.70683, -0.8847964, False, True, False, False
37, 12, 1.926097, 0.2919101, 1.711471, -0.8339694, False, True, False, False
38, 12.07778, 1.901407, 0.2912903, 1.709428, -0.7799709, False, True, False, False
39, 12.18889, 1.874327, 0.3008543, 1.703117, -0.7224815, False, True, False, False
40, 12.27778, 1.85882, 0.3193474, 1.702172, -0.6751596, False, True, False, False
41, 12.35556, 1.846133, 0.346995, 1.701855, -0.6256924, False, True, False, False
42, 12.45556, 1.846485, 0.3796861, 1.713752, -0.5730609, False, True, False, False
43, 12.55556, 1.849426, 0.4063561, 1.724823, -0.5293732, False, True, False, False
44, 12.66667, 1.84733, 0.4305662, 1.730929, -0.4807562, False, True, False, False
45, 12.78889, 1.840065, 0.4387595, 1.734594, -0.4295483, False, True, False, False
46, 12.94444, 1.82166, 0.4264553, 1.731899, -0.3702782, False, True, False, False
47, 13.14444, 1.803127, 0.3939473, 1.727915, -0.3322389, False, True, False, False
48, 13.31111, 1.777356, 0.3649073, 1.714827, -0.2918975, False, True, False, False
49, 13.45556, 1.749733, 0.3323016, 1.698986, -0.254142, False, True, False, False
50, 13.58889, 1.716819, 0.300137, 1.676563, -0.2156924, False, True, False, False
51, 13.68889, 1.678505, 0.2681431, 1.647116, -0.1802484, False, True, False, False
52, 13.78889, 1.644279, 0.2370982, 1.620404, -0.1474063, False, True, False, False
53, 13.86667, 1.612921, 0.2016092, 1.59611, -0.1153331, False, True, False, False
54, 14, 1.582036, 0.1633814, 1.571207, -0.08632743, False, False, True, False
55, 14.21111, 1.557776, 0.1322726, 1.551427, -0.04737663, False, False, True, False
56, 14.54445, 1.522796, 0.1109615, 1.518683, -0.01398355, False, False, True, False
57, 14.92222, 1.566009, 0.1444033, 1.559328, -0.005354226, False, False, True, False
58, 15.01111, 1.603641, 0.1803444, 1.5934, -0.01477438, False, False, True, False
59, 15.08889, 1.639553, 0.2295405, 1.623217, -0.02472389, False, False, True, False
60, 15.17778, 1.669122, 0.2813672, 1.645017, -0.02678752, False, False, True, False
61, 15.28889, 1.69738, 0.3451157, 1.661735, -0.02514946, False, False, True, False
62, 15.35556, 1.715212, 0.3948348, 1.669048, -0.01839155, False, False, True, False
63, 15.44444, 1.735996, 0.4500259, 1.676641, -0.006100059, False, False, True, False
64, 15.52222, 1.75839, 0.4984481, 1.686212, 0.01316774, False, False, False, False
65, 15.6, 1.777743, 0.5453779, 1.691571, 0.03901482, False, False, False, False
66, 15.67778, 1.789252, 0.5838273, 1.689329, 0.08206773, False, False, False, False
67, 15.78889, 1.793518, 0.6008004, 1.68411, 0.1397152, False, False, False, False
