--------------------------------
Condition: 3 B
--------------------------------
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0, 3.577778, 3.392464, 0.02022469, 1.614375, -2.983654, False, True, False, False
1, 4.544445, 3.36878, -0.01931163, 1.583387, -2.973414, False, True, False, True
2, 4.844445, 3.357774, -0.06719418, 1.564748, -2.970134, False, True, False, True
3, 5.144444, 3.337785, -0.1123709, 1.548281, -2.954829, False, True, False, True
4, 6.166667, 3.325836, -0.07404757, 1.578061, -2.926675, False, True, False, True
5, 6.288889, 3.295606, -0.03459709, 1.577579, -2.893279, False, True, False, True
6, 6.422223, 3.267494, 0.005482528, 1.587562, -2.855894, False, True, False, False
7, 6.544445, 3.229028, 0.04449788, 1.591105, -2.809453, False, True, False, False
8, 6.644444, 3.192134, 0.07235576, 1.590264, -2.766865, False, True, False, False
9, 6.766667, 3.149901, 0.09864677, 1.58281, -2.721554, False, True, False, False
10, 6.922223, 3.104217, 0.1060059, 1.579937, -2.669968, False, True, False, False
11, 7.044445, 3.053329, 0.08302881, 1.571338, -2.616643, False, True, False, False
12, 7.166667, 3.011118, 0.05006786, 1.561683, -2.573998, False, True, False, False
13, 7.244445, 2.974803, 0.014426, 1.556602, -2.535002, False, True, False, False
14, 7.333333, 2.94469, -0.02622392, 1.567695, -2.492557, False, True, False, True
15, 7.455556, 2.922233, -0.05862696, 1.583733, -2.455158, False, True, False, True
16, 7.544445, 2.884798, -0.08689386, 1.581311, -2.411216, False, True, False, True
17, 7.633334, 2.845126, -0.1048758, 1.580747, -2.363256, False, True, False, True
18, 7.722222, 2.802563, -0.11734, 1.578902, -2.312501, False, True, False, True
19, 7.8, 2.753691, -0.1242801, 1.572989, -2.256784, False, True, False, True
20, 7.877778, 2.706964, -0.1254707, 1.566188, -2.204307, False, True, False, True
21, 7.944445, 2.649704, -0.1185388, 1.557479, -2.14036, False, True, False, True
22, 8.011111, 2.608683, -0.1100562, 1.556345, -2.090671, False, True, False, True
23, 8.066667, 2.574028, -0.1022156, 1.568778, -2.038163, False, True, False, True
24, 8.133333, 2.537582, -0.09710489, 1.573684, -1.988319, False, True, False, True
25, 8.222222, 2.484661, -0.09502167, 1.569445, -1.923891, False, True, False, True
26, 8.311111, 2.442327, -0.09872669, 1.566163, -1.871455, False, True, False, True
27, 8.422222, 2.40149, -0.1058568, 1.563406, -1.81981, False, True, False, True
28, 8.5, 2.357415, -0.1172097, 1.554804, -1.768121, False, True, False, True
29, 8.577778, 2.305796, -0.1365789, 1.541219, -1.709586, False, True, False, True
30, 8.666667, 2.261532, -0.1621976, 1.536606, -1.651382, False, True, False, True
31, 8.733334, 2.232321, -0.1865637, 1.548603, -1.596959, False, True, False, True
32, 8.8, 2.190849, -0.2063688, 1.545697, -1.538847, False, True, False, True
33, 8.888889, 2.146615, -0.2154543, 1.538133, -1.481784, False, True, False, True
34, 8.977778, 2.104068, -0.2177119, 1.532012, -1.425708, False, True, False, True
35, 9.066667, 2.06014, -0.2154636, 1.523549, -1.369873, False, True, False, True
36, 9.155556, 2.015551, -0.2076667, 1.51184, -1.316685, False, True, False, True
37, 9.277778, 1.976182, -0.195015, 1.506567, -1.26393, False, True, False, True
38, 9.377778, 1.939733, -0.1839927, 1.510117, -1.203436, False, True, False, True
39, 9.477778, 1.90246, -0.1802843, 1.505624, -1.14889, False, True, False, True
40, 9.6, 1.869729, -0.1900789, 1.507052, -1.090207, False, True, False, True
41, 9.68889, 1.850406, -0.20861, 1.51643, -1.039674, False, True, False, True
42, 9.755556, 1.845163, -0.2355047, 1.536031, -0.994872, False, True, False, True
43, 9.844444, 1.855558, -0.2727008, 1.563009, -0.9621487, False, True, False, True
44, 9.933333, 1.864436, -0.3182487, 1.577299, -0.941789, False, True, False, True
45, 10.02222, 1.873874, -0.3609033, 1.595795, -0.9135596, False, True, False, True
46, 10.13333, 1.87195, -0.3955046, 1.606812, -0.8751742, False, True, False, True
47, 10.25556, 1.856028, -0.4196591, 1.606833, -0.8287425, False, True, False, True
48, 10.37778, 1.835589, -0.4378824, 1.607428, -0.7705988, False, True, False, True
49, 10.45556, 1.811606, -0.4439001, 1.601794, -0.7205042, False, True, False, True
50, 10.56667, 1.783703, -0.4422525, 1.594863, -0.6651469, False, True, False, True
