--------------------------------
Condition: 01
--------------------------------
Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft
0, 6.422223, 3.257932, -0.1238813, 1.675584, -2.791271, False, True, False, True
1, 7.466667, 3.217166, -0.1502885, 1.647485, -2.759233, False, True, False, True
2, 7.922223, 3.171967, -0.1649372, 1.642603, -2.708509, False, True, False, True
3, 8.1, 3.129093, -0.1502727, 1.640517, -2.660327, False, True, False, True
4, 8.211111, 3.087756, -0.1244292, 1.64185, -2.612103, False, True, False, True
5, 8.322223, 3.054688, -0.1001198, 1.654035, -2.566177, False, True, False, True
6, 8.433333, 3.022513, -0.07731506, 1.663486, -2.522384, False, True, False, True
7, 8.566667, 2.984953, -0.05190324, 1.666119, -2.476146, False, True, False, True
8, 8.733334, 2.944801, -0.03526961, 1.665984, -2.427984, False, True, False, True
9, 8.855556, 2.900921, -0.02884712, 1.666337, -2.374411, False, True, False, True
10, 8.944445, 2.855926, -0.03127694, 1.662117, -2.32222, False, True, False, True
11, 9.033334, 2.806928, -0.04126322, 1.658043, -2.264517, False, True, False, True
12, 9.111112, 2.76257, -0.05757552, 1.65304, -2.212676, False, True, False, True
13, 9.2, 2.723721, -0.07816383, 1.657038, -2.160271, False, True, False, True
14, 9.288889, 2.691792, -0.09708143, 1.669003, -2.109679, False, True, False, True
15, 9.400001, 2.654572, -0.1152829, 1.671529, -2.058993, False, True, False, True
16, 9.533334, 2.616451, -0.127672, 1.674178, -2.006649, False, True, False, True
17, 9.666667, 2.578385, -0.1356951, 1.676021, -1.954638, False, True, False, True
18, 9.766667, 2.534086, -0.1382832, 1.670012, -1.900928, False, True, False, True
19, 9.855556, 2.490049, -0.1354555, 1.66324, -1.848143, False, True, False, True
20, 9.922222, 2.448731, -0.129233, 1.656541, -1.798738, False, True, False, True
21, 9.988889, 2.402698, -0.1170876, 1.653362, -1.739437, False, True, False, True
22, 10.07778, 2.368101, -0.1038432, 1.664819, -1.680921, False, True, False, True
23, 10.16667, 2.334246, -0.09288473, 1.675438, -1.622647, False, True, False, True
24, 10.25556, 2.2956, -0.08574015, 1.673113, -1.569434, False, True, False, True
25, 10.34444, 2.262388, -0.08432554, 1.675465, -1.517928, False, True, False, True
26, 10.45556, 2.229551, -0.08482201, 1.676875, -1.4669, False, True, False, True
27, 10.56667, 2.187931, -0.0892148, 1.673625, -1.406435, False, True, False, True
28, 10.64444, 2.147982, -0.1002019, 1.667566, -1.350189, False, True, False, True
29, 10.73333, 2.113508, -0.1161086, 1.662912, -1.29929, False, True, False, True
30, 10.81111, 2.076632, -0.1394304, 1.660623, -1.239069, False, True, False, True
31, 10.86667, 2.052501, -0.1620821, 1.664406, -1.19006, False, True, False, True
32, 10.94444, 2.032346, -0.1846362, 1.674042, -1.137508, False, True, False, True
33, 11.05556, 2.001655, -0.2009585, 1.67197, -1.082014, False, True, False, True
34, 11.18889, 1.975405, -0.2103679, 1.675952, -1.024283, False, True, False, True
35, 11.34444, 1.945963, -0.2130781, 1.672858, -0.97104, False, True, False, True
36, 11.46667, 1.916209, -0.2068828, 1.668656, -0.919045, False, True, False, True
37, 11.56667, 1.886424, -0.1935723, 1.66294, -0.8693414, False, True, False, True
38, 11.66667, 1.857331, -0.173392, 1.657699, -0.8195415, False, True, False, True
39, 11.76667, 1.844438, -0.1487953, 1.668967, -0.7709471, False, True, False, True
