Condition, Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft, isOuter,GazeObject,GP_X,GP_X,GP_Z,GZ_X,GZ_Y,GZ_Y,GZD_X,GZD_Y,GZD_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,eye_closed,blink_count, eventTriggered
Sneeze_Away, 0, 24.18, 4.258226, 0.1874518, 1.617589, -2.934559, False, True, False, False, True,Eye Leg,-0.1161957,0.8880181,0.7779999,0.1874429,1.617583,-2.934558,-0.07999713,-0.1922084,0.9780881,0.1533696,1.622831,-2.937311,-0.05329235,-0.19713,0.9789279,0.221534,1.612348,-2.931807,-0.1064541,-0.1874673,0.9764853,0.1874518,1.617589,-2.934559,359.6965,175.3371,8.71498,0,0,False
Sneeze_Away, 1, 24.2, 4.258056, 0.1865074, 1.617371, -2.93451, False, True, False, False, True,Eye Leg,-0.1088294,0.8838109,0.7779999,0.1864714,1.617367,-2.934445,-0.07780632,-0.1932561,0.9780584,0.1523679,1.6223,-2.937127,-0.05043175,-0.1982598,0.9788513,0.2206468,1.612443,-2.931893,-0.1037528,-0.1894498,0.9763934,0.1865074,1.617371,-2.93451,359.4792,175.5416,8.191488,0,0,False
Sneeze_Away, 2, 24.22, 4.258056, 0.1865074, 1.617371, -2.93451, False, True, False, False, True,Eye Leg,-0.1086131,0.8843484,0.775281,0.1864714,1.617367,-2.934445,-0.07780632,-0.1932561,0.9780584,0.1523679,1.6223,-2.937127,-0.05043175,-0.1982598,0.9788513,0.2206468,1.612443,-2.931893,-0.1037528,-0.1894498,0.9763934,0.1865074,1.617371,-2.93451,359.4792,175.5416,8.191488,0,0,False
Sneeze_Away, 3, 24.24, 4.257741, 0.1844256, 1.616876, -2.93447, False, True, False, False, True,Eye Leg,-0.1106863,0.8838745,0.7752129,0.1843943,1.616903,-2.934412,-0.07780632,-0.1932561,0.9780584,0.1501891,1.621217,-2.936849,-0.05107137,-0.1979491,0.9788809,0.2186621,1.612536,-2.932091,-0.1043822,-0.1890846,0.9763972,0.1844256,1.616876,-2.93447,359.0527,175.9059,7.209522,0,0,False
Sneeze_Away, 4, 24.26, 4.256784, 0.1806378, 1.616331, -2.933835, False, True, False, False, True,Eye Leg,-0.09232179,0.8654575,0.773743,0.1806662,1.61629,-2.933879,-0.07197003,-0.1979796,0.9775605,0.146288,1.619896,-2.935841,-0.04525619,-0.20175,0.9783909,0.2149876,1.612767,-2.931828,-0.09872156,-0.1937742,0.9760665,0.1806378,1.616331,-2.933835,358.4438,176.4961,5.916863,0,0,False
Sneeze_Away, 5, 24.28, 4.256485, 0.1792961, 1.616421, -2.933535, False, True, False, False, True,Eye Leg,-0.09973815,0.8695849,0.7733846,0.1793602,1.616295,-2.933529,-0.0735911,-0.1969667,0.9776443,0.1449177,1.61976,-2.935437,-0.04673892,-0.2005288,0.9785722,0.2136745,1.613082,-2.931633,-0.1003422,-0.1934619,0.9759631,0.1792961,1.616421,-2.933535,358.2858,176.667,5.541398,0,0,False
Sneeze_Away, 6, 24.3, 4.255735, 0.1764408, 1.616438, -2.932846, False, True, False, False, True,Eye Leg,-0.06053476,0.8380661,0.7722052,0.1764617,1.616423,-2.932858,-0.06247148,-0.2051945,0.9767254,0.1420146,1.619369,-2.934546,-0.0356665,-0.2082121,0.9774331,0.2108669,1.613508,-2.931145,-0.08941098,-0.2021378,0.9752671,0.1764408,1.616438,-2.932846,358.0053,177.0027,4.862978,0,0,False
Sneeze_Away, 7, 24.32, 4.255524, 0.17465, 1.616602, -2.93263, False, True, False, False, True,Eye Leg,-0.06228403,0.8383667,0.7717721,0.174776,1.616453,-2.932484,-0.06247147,-0.2051944,0.9767254,0.1402,1.619294,-2.934242,-0.03594392,-0.2096017,0.977126,0.2090999,1.613911,-2.931018,-0.08969709,-0.2036141,0.9749337,0.17465,1.616602,-2.93263,357.782,177.1476,4.466374,0,0,False
Sneeze_Away, 8, 24.34, 4.255194, 0.1731544, 1.617829, -2.931834, False, True, False, False, True,Eye Leg,0.07048135,0.8033104,0.7735351,0.1731646,1.615639,-2.932129,-0.02705319,-0.2146168,0.9763236,0.1386824,1.620222,-2.933448,-0.001241203,-0.2293835,0.9733353,0.2076263,1.615437,-2.930221,-0.05510464,-0.2245766,0.9728971,0.1731544,1.617829,-2.931834,357.4741,177.1454,3.969774,0,0,False
Sneeze_Away, 9, 24.36, 4.254299, 0.1691857, 1.617503, -2.931172, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1692592,1.617067,-2.931204,-0.02705319,-0.2146167,0.9763236,0.1346885,1.619548,-2.932721,0.0002161711,-0.2190391,0.9757161,0.2036829,1.615458,-2.929623,-0.05364164,-0.2141656,0.9753234,0.1691857,1.617503,-2.931172,357.5723,177.2852,3.392066,0,0,False
Sneeze_Away, 10, 24.38, 4.253977, 0.1673294, 1.617872, -2.930752, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1673329,1.617702,-2.930751,0.01660667,-0.2180759,-0.9757907,0.1328271,1.619823,-2.932311,0.009820916,-0.2198789,0.9754777,0.2018317,1.615921,-2.929194,-0.04410889,-0.2159125,0.9754159,0.1673294,1.617872,-2.930752,357.613,177.2791,3.235756,0,0,False
Sneeze_Away, 11, 24.4, 4.253325, 0.1636779, 1.618517, -2.929935, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1634252,1.618595,-2.930218,0.01167914,-0.2182933,-0.9758136,0.1291722,1.620396,-2.931506,0.01424884,-0.2187603,0.9756746,0.1981836,1.616639,-2.928364,-0.03973874,-0.2156135,0.9756698,0.1636779,1.618517,-2.929935,357.4743,177.2555,3.115983,0,0,False
Sneeze_Away, 12, 24.42, 4.252712, 0.1619569, 1.618156, -2.929491, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1621283,1.619192,-2.929023,0.01167914,-0.2182933,-0.9758134,0.1274359,1.619654,-2.931133,0.01479576,-0.2150764,0.9764851,0.1964779,1.616658,-2.927848,-0.03918046,-0.2117409,0.9765401,0.1619569,1.618156,-2.929491,357.6868,177.1754,2.483577,0,0,False
Sneeze_Away, 13, 24.44, 4.252277, 0.1602403, 1.618583, -2.928915, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1603205,1.619068,-2.928831,0.01167914,-0.2182933,-0.9758134,0.1257158,1.61996,-2.930589,0.0157964,-0.218022,0.9758161,0.1947648,1.617205,-2.927241,-0.03818963,-0.2148502,0.9759001,0.1602403,1.618583,-2.928915,357.543,177.1264,2.284117,0,0,False
Sneeze_Away, 14, 24.46, 4.251489, 0.1566686, 1.619294, -2.927913, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1566653,1.619334,-2.927869,0.006897724,-0.2171524,-0.9761134,0.1221428,1.620598,-2.929618,0.02020735,-0.2181509,0.9757059,0.1911945,1.61799,-2.926208,-0.03380381,-0.2155274,0.9759125,0.1566686,1.619294,-2.927913,357.4412,177.0763,2.162002,0,0,False
Sneeze_Away, 15, 24.48, 4.25109, 0.1551773, 1.619865, -2.927304, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1551,1.619793,-2.927279,0.004067439,-0.2162636,-0.9763268,0.1206501,1.621105,-2.929028,0.02324665,-0.2165745,0.9759893,0.1897046,1.618626,-2.925581,-0.03078654,-0.2145689,0.9762235,0.1551773,1.619865,-2.927304,357.487,177.0522,2.055099,0,0,False
Sneeze_Away, 16, 24.5, 4.250617, 0.1518755, 1.621564, -2.926221, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1517426,1.621787,-2.926114,0.001979334,-0.2159901,-0.9763937,0.1173392,1.622645,-2.927868,0.02373976,-0.2153954,0.9762383,0.1864119,1.620483,-2.924573,-0.03029651,-0.213626,0.9764456,0.1518755,1.621564,-2.926221,357.5913,177.1939,1.791988,0,0,False
Sneeze_Away, 17, 24.52, 4.250101, 0.1505126, 1.621301, -2.925823, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1508036,1.621711,-2.925593,0.001979334,-0.2159901,-0.9763936,0.1159745,1.622427,-2.9274,0.02679541,-0.214311,0.9763979,0.1850508,1.620175,-2.924246,-0.02724391,-0.21266,0.9767464,0.1505126,1.621301,-2.925823,357.8611,177.316,1.866647,0,0,False
Sneeze_Away, 18, 24.54, 4.250036, 0.1489137, 1.622826, -2.925184, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1492721,1.622153,-2.924873,0.001979334,-0.2159901,-0.9763937,0.1143692,1.623857,-2.926687,0.02860423,-0.2194217,0.9752107,0.1834581,1.621795,-2.92368,-0.02543856,-0.2179093,0.9756374,0.1489137,1.622826,-2.925184,357.7239,177.4394,1.708648,0,0,False
Sneeze_Away, 19, 24.56, 4.248799, 0.145917, 1.622884, -2.923933, False, True, False, False, True,Eye Leg,0.06653456,0.8031579,0.7734084,0.1458944,1.623278,-2.924021,0.002490009,-0.2093907,-0.9778289,0.1113695,1.623913,-2.925365,0.02457931,-0.2078824,0.977845,0.1804645,1.621855,-2.9225,-0.02947409,-0.2065149,0.9779994,0.145917,1.622884,-2.923933,358.2282,177.5732,1.705308,0,0,False
