Condition, Index, Time, Distance, X, Y, Z, isCenter, isFront, isSide, isLeft, isOuter,GazeObject,GP_X,GP_X,GP_Z,GZ_X,GZ_Y,GZ_Y,GZD_X,GZD_Y,GZD_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,eye_closed,blink_count, eventTriggered
Sneeze_None, 0, 92.54, 4.272775, -0.1072673, 1.62911, -2.948557, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.1072751,1.629128,-2.948553,-0.8700711,-0.1656086,0.4642739,-0.1248685,1.62991,-2.978326,-0.8569154,-0.1662764,0.4879019,-0.08966623,1.628309,-2.918788,-0.8825426,-0.1646977,0.4404468,-0.1072673,1.62911,-2.948557,8.094978,120.7826,1.339875,0,0,False
Sneeze_None, 1, 92.56, 4.273342, -0.1077737, 1.629133, -2.949147, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.1077654,1.629133,-2.949144,-0.8595367,-0.165709,0.4834638,-0.1251905,1.629951,-2.979024,-0.8456527,-0.1657584,0.5073418,-0.09035684,1.628314,-2.919271,-0.8723919,-0.1643929,0.460334,-0.1077737,1.629133,-2.949147,8.127204,120.4339,1.369435,0,0,False
Sneeze_None, 2, 92.57999, 4.274479, -0.108727, 1.629242, -2.950307, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.1087223,1.629204,-2.950293,-0.8568096,-0.1662536,0.4880955,-0.1257507,1.630115,-2.980408,-0.8429035,-0.1668671,0.511536,-0.09170328,1.628369,-2.920206,-0.8698993,-0.1655128,0.4646296,-0.108727,1.629242,-2.950307,8.1692,119.6981,1.460876,0,0,False
Sneeze_None, 3, 92.6, 4.275634, -0.1095899, 1.629387, -2.951473, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.109605,1.62943,-2.951512,-0.8568099,-0.1662535,0.488095,-0.1262431,1.630349,-2.981777,-0.8429785,-0.1667535,0.5114495,-0.09293669,1.628425,-2.921168,-0.8699715,-0.1653802,0.4645418,-0.1095899,1.629387,-2.951473,8.25118,119.021,1.61033,0,0,False
Sneeze_None, 4, 92.62, 4.275634, -0.1095899, 1.629387, -2.951473, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.109605,1.62943,-2.951512,-0.8568099,-0.1662535,0.488095,-0.1262431,1.630349,-2.981777,-0.8429785,-0.1667535,0.5114495,-0.09293669,1.628425,-2.921168,-0.8699715,-0.1653802,0.4645418,-0.1095899,1.629387,-2.951473,8.25118,119.021,1.61033,0,0,False
Sneeze_None, 5, 92.64, 4.277225, -0.1106433, 1.629536, -2.953103, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.1106504,1.629529,-2.953095,-0.8773657,-0.1692454,0.4489828,-0.1267842,1.630589,-2.98368,-0.8644958,-0.1702242,0.4729385,-0.09450236,1.628482,-2.922525,-0.8894088,-0.1684942,0.4249254,-0.1106433,1.629536,-2.953103,8.379497,118.0852,1.764756,0,0,False
Sneeze_None, 6, 92.66, 4.277696, -0.110909, 1.629554, -2.953598, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.1109255,1.629562,-2.953645,-0.8773656,-0.1692455,0.448983,-0.1269046,1.630624,-2.984251,-0.8643824,-0.1702478,0.4731369,-0.09491327,1.628484,-2.922944,-0.8893049,-0.1685301,0.4251286,-0.110909,1.629554,-2.953598,8.39934,117.8184,1.791709,0,0,False
Sneeze_None, 7, 92.68, 4.278063, -0.1111524, 1.629519, -2.954002, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.111155,1.629569,-2.954038,-0.8773657,-0.1692454,0.4489828,-0.1270177,1.6306,-2.984723,-0.864225,-0.1702097,0.4734381,-0.09528697,1.628439,-2.923281,-0.8891637,-0.1684944,0.4254377,-0.1111524,1.629519,-2.954002,8.404101,117.5782,1.809802,0,0,False
Sneeze_None, 8, 92.7, 4.278763, -0.1115302, 1.629476, -2.954767, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.1115452,1.62949,-2.954775,-0.9386278,-0.1826165,0.2926245,-0.1271631,1.630566,-2.985606,-0.9299861,-0.1842795,0.3180677,-0.09589741,1.628386,-2.923928,-0.946408,-0.1809086,0.267552,-0.1115302,1.629476,-2.954767,8.410511,117.1482,1.826048,0,0,False
Sneeze_None, 9, 92.72, 4.279087, -0.1116376, 1.629492, -2.955108, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.1116748,1.629482,-2.955125,-0.9424176,-0.1813495,0.281001,-0.1271955,1.630568,-2.985985,-0.9339306,-0.1831909,0.3069441,-0.09607971,1.628416,-2.92423,-0.9497506,-0.1797605,0.2562416,-0.1116376,1.629492,-2.955108,8.406335,117.005,1.801705,0,0,False
Sneeze_None, 10, 92.74, 4.279369, -0.1117325, 1.629441, -2.955431, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.1117344,1.629441,-2.95544,-0.9424174,-0.1813495,0.2810013,-0.1272221,1.630501,-2.986344,-0.9339366,-0.183268,0.3068802,-0.09624296,1.628381,-2.924519,-0.9497542,-0.1798352,0.2561768,-0.1117325,1.629441,-2.955431,8.40922,116.874,1.774935,0,0,False
Sneeze_None, 11, 92.75999, 4.279769, -0.1117602, 1.629337, -2.955906, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.1117551,1.629324,-2.955906,-0.9388912,-0.1784952,0.2943174,-0.1271611,1.630328,-2.986865,-0.9301673,-0.1801814,0.3198805,-0.09635928,1.628346,-2.924947,-0.9466988,-0.1769531,0.2691634,-0.1117602,1.629337,-2.955906,8.379907,116.6903,1.659085,0,0,False
Sneeze_None, 12, 92.78, 4.28016, -0.111777, 1.629288, -2.956349, False, True, False, True, True,Plane (1),-5.681739,1.160068,2.648077,-0.1116888,1.629294,-2.956151,-0.9388911,-0.1784953,0.2943175,-0.1271823,1.630236,-2.987308,-0.9299644,-0.1802709,0.3204191,-0.09637175,1.628341,-2.925391,-0.9465258,-0.1770426,0.2697124,-0.111777,1.629288,-2.956349,8.349286,116.686,1.586986,0,0,False
